[rosmaster.main][INFO] 2019-06-24 12:31:37,342: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-24 12:31:37,342: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-24 12:31:37,343: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-06-24 12:31:37,344: Started XML-RPC server [http://dc5b429f784e:11311/]
[xmlrpc][INFO] 2019-06-24 12:31:37,344: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-24 12:31:37,344: Master initialized: port[11311], uri[http://dc5b429f784e:11311/]
[rosmaster.master][INFO] 2019-06-24 12:31:37,432: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-24 12:31:37,434: +PARAM [/roslaunch/uris/host_dc5b429f784e__46111] by /roslaunch
[rosmaster.master][INFO] 2019-06-24 12:31:37,831: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-06-24 12:31:37,831: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2019-06-24 12:31:37,831: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-06-24 12:31:37,848: +SERVICE [/rosout/get_loggers] /rosout http://dc5b429f784e:42373/
[rosmaster.master][INFO] 2019-06-24 12:31:37,849: +SERVICE [/rosout/set_logger_level] /rosout http://dc5b429f784e:42373/
[rosmaster.master][INFO] 2019-06-24 12:31:37,856: +SUB [/clock] /rosout http://dc5b429f784e:42373/
[rosmaster.master][INFO] 2019-06-24 12:31:37,865: +PUB [/rosout_agg] /rosout http://dc5b429f784e:42373/
[rosmaster.master][INFO] 2019-06-24 12:31:37,870: +SUB [/rosout] /rosout http://dc5b429f784e:42373/
[rosmaster.master][INFO] 2019-06-24 12:31:38,602: +PUB [/rosout] /gazebo http://dc5b429f784e:34479/
[rosmaster.master][INFO] 2019-06-24 12:31:38,603: +SERVICE [/gazebo/get_loggers] /gazebo http://dc5b429f784e:34479/
[rosmaster.master][INFO] 2019-06-24 12:31:38,604: +SERVICE [/gazebo/set_logger_level] /gazebo http://dc5b429f784e:34479/
[rosmaster.master][INFO] 2019-06-24 12:31:38,611: +SUB [/clock] /gazebo http://dc5b429f784e:34479/
[rosmaster.master][INFO] 2019-06-24 12:31:38,645: publisherUpdate[/rosout] -> http://dc5b429f784e:42373/ ['http://dc5b429f784e:34479/']
[rosmaster.master][INFO] 2019-06-24 12:31:38,653: publisherUpdate[/rosout] -> http://dc5b429f784e:42373/ ['http://dc5b429f784e:34479/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2019-06-24 12:31:38,910: +PUB [/clock] /gazebo http://dc5b429f784e:34479/
[rosmaster.master][INFO] 2019-06-24 12:31:38,912: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://dc5b429f784e:34479/
[rosmaster.master][INFO] 2019-06-24 12:31:38,913: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://dc5b429f784e:34479/
[rosmaster.master][INFO] 2019-06-24 12:31:38,914: +SERVICE [/gazebo/delete_model] /gazebo http://dc5b429f784e:34479/
[rosmaster.master][INFO] 2019-06-24 12:31:38,915: +SERVICE [/gazebo/delete_light] /gazebo http://dc5b429f784e:34479/
[rosmaster.master][INFO] 2019-06-24 12:31:38,916: +SERVICE [/gazebo/get_model_properties] /gazebo http://dc5b429f784e:34479/
[rosmaster.master][INFO] 2019-06-24 12:31:38,918: +SERVICE [/gazebo/get_model_state] /gazebo http://dc5b429f784e:34479/
[rosmaster.master][INFO] 2019-06-24 12:31:38,920: +SERVICE [/gazebo/get_world_properties] /gazebo http://dc5b429f784e:34479/
[rosmaster.master][INFO] 2019-06-24 12:31:38,921: +SERVICE [/gazebo/get_joint_properties] /gazebo http://dc5b429f784e:34479/
[rosmaster.master][INFO] 2019-06-24 12:31:38,922: +SERVICE [/gazebo/get_link_properties] /gazebo http://dc5b429f784e:34479/
[rosmaster.master][INFO] 2019-06-24 12:31:38,923: +SERVICE [/gazebo/get_link_state] /gazebo http://dc5b429f784e:34479/
[rosmaster.master][INFO] 2019-06-24 12:31:38,924: +SERVICE [/gazebo/get_light_properties] /gazebo http://dc5b429f784e:34479/
[rosmaster.master][INFO] 2019-06-24 12:31:38,925: +SERVICE [/gazebo/set_light_properties] /gazebo http://dc5b429f784e:34479/
[rosmaster.master][INFO] 2019-06-24 12:31:38,925: +SERVICE [/gazebo/get_physics_properties] /gazebo http://dc5b429f784e:34479/
[rosmaster.master][INFO] 2019-06-24 12:31:38,926: +PUB [/gazebo/link_states] /gazebo http://dc5b429f784e:34479/
[rosmaster.master][INFO] 2019-06-24 12:31:38,927: +PUB [/gazebo/model_states] /gazebo http://dc5b429f784e:34479/
[rosmaster.master][INFO] 2019-06-24 12:31:38,928: +SERVICE [/gazebo/set_link_properties] /gazebo http://dc5b429f784e:34479/
[rosmaster.master][INFO] 2019-06-24 12:31:38,929: +SERVICE [/gazebo/set_physics_properties] /gazebo http://dc5b429f784e:34479/
[rosmaster.master][INFO] 2019-06-24 12:31:38,930: +SERVICE [/gazebo/set_model_state] /gazebo http://dc5b429f784e:34479/
[rosmaster.master][INFO] 2019-06-24 12:31:38,931: +SERVICE [/gazebo/set_model_configuration] /gazebo http://dc5b429f784e:34479/
[rosmaster.master][INFO] 2019-06-24 12:31:38,932: +SERVICE [/gazebo/set_joint_properties] /gazebo http://dc5b429f784e:34479/
[rosmaster.master][INFO] 2019-06-24 12:31:38,933: +SERVICE [/gazebo/set_link_state] /gazebo http://dc5b429f784e:34479/
[rosmaster.master][INFO] 2019-06-24 12:31:38,939: +SUB [/gazebo/set_link_state] /gazebo http://dc5b429f784e:34479/
[rosmaster.master][INFO] 2019-06-24 12:31:38,945: +SUB [/gazebo/set_model_state] /gazebo http://dc5b429f784e:34479/
[rosmaster.master][INFO] 2019-06-24 12:31:38,946: +SERVICE [/gazebo/pause_physics] /gazebo http://dc5b429f784e:34479/
[rosmaster.master][INFO] 2019-06-24 12:31:38,946: publisherUpdate[/clock] -> http://dc5b429f784e:42373/ ['http://dc5b429f784e:34479/']
[rosmaster.master][INFO] 2019-06-24 12:31:38,947: publisherUpdate[/clock] -> http://dc5b429f784e:34479/ ['http://dc5b429f784e:34479/']
[rosmaster.master][INFO] 2019-06-24 12:31:38,948: publisherUpdate[/clock] -> http://dc5b429f784e:42373/ ['http://dc5b429f784e:34479/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-06-24 12:31:38,949: publisherUpdate[/clock] -> http://dc5b429f784e:34479/ ['http://dc5b429f784e:34479/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-06-24 12:31:38,949: +SERVICE [/gazebo/unpause_physics] /gazebo http://dc5b429f784e:34479/
[rosmaster.master][INFO] 2019-06-24 12:31:38,950: +SERVICE [/gazebo/apply_body_wrench] /gazebo http://dc5b429f784e:34479/
[rosmaster.master][INFO] 2019-06-24 12:31:38,951: +SERVICE [/gazebo/apply_joint_effort] /gazebo http://dc5b429f784e:34479/
[rosmaster.master][INFO] 2019-06-24 12:31:38,952: +SERVICE [/gazebo/clear_joint_forces] /gazebo http://dc5b429f784e:34479/
[rosmaster.master][INFO] 2019-06-24 12:31:38,954: +SERVICE [/gazebo/clear_body_wrenches] /gazebo http://dc5b429f784e:34479/
[rosmaster.master][INFO] 2019-06-24 12:31:38,954: +SERVICE [/gazebo/reset_simulation] /gazebo http://dc5b429f784e:34479/
[rosmaster.master][INFO] 2019-06-24 12:31:38,955: +SERVICE [/gazebo/reset_world] /gazebo http://dc5b429f784e:34479/
[rosmaster.master][INFO] 2019-06-24 12:31:38,990: +SERVICE [/gazebo/set_parameters] /gazebo http://dc5b429f784e:34479/
[rosmaster.master][INFO] 2019-06-24 12:31:38,991: +PUB [/gazebo/parameter_descriptions] /gazebo http://dc5b429f784e:34479/
[rosmaster.master][INFO] 2019-06-24 12:31:38,992: +PUB [/gazebo/parameter_updates] /gazebo http://dc5b429f784e:34479/
[rosmaster.master][INFO] 2019-06-24 12:31:39,006: +PARAM [/gazebo/time_step] by /gazebo
[rosmaster.master][INFO] 2019-06-24 12:31:39,008: +PARAM [/gazebo/max_update_rate] by /gazebo
[rosmaster.master][INFO] 2019-06-24 12:31:39,008: +PARAM [/gazebo/gravity_x] by /gazebo
[rosmaster.master][INFO] 2019-06-24 12:31:39,009: +PARAM [/gazebo/gravity_y] by /gazebo
[rosmaster.master][INFO] 2019-06-24 12:31:39,010: +PARAM [/gazebo/gravity_z] by /gazebo
[rosmaster.master][INFO] 2019-06-24 12:31:39,012: +PARAM [/gazebo/auto_disable_bodies] by /gazebo
[rosmaster.master][INFO] 2019-06-24 12:31:39,013: +PARAM [/gazebo/sor_pgs_precon_iters] by /gazebo
[rosmaster.master][INFO] 2019-06-24 12:31:39,014: +PARAM [/gazebo/sor_pgs_iters] by /gazebo
[rosmaster.master][INFO] 2019-06-24 12:31:39,015: +PARAM [/gazebo/sor_pgs_w] by /gazebo
[rosmaster.master][INFO] 2019-06-24 12:31:39,017: +PARAM [/gazebo/sor_pgs_rms_error_tol] by /gazebo
[rosmaster.master][INFO] 2019-06-24 12:31:39,018: +PARAM [/gazebo/cfm] by /gazebo
[rosmaster.master][INFO] 2019-06-24 12:31:39,019: +PARAM [/gazebo/erp] by /gazebo
[rosmaster.master][INFO] 2019-06-24 12:31:39,020: +PARAM [/gazebo/contact_surface_layer] by /gazebo
[rosmaster.master][INFO] 2019-06-24 12:31:39,021: +PARAM [/gazebo/contact_max_correcting_vel] by /gazebo
[rosmaster.master][INFO] 2019-06-24 12:31:39,022: +PARAM [/gazebo/max_contacts] by /gazebo
[rosmaster.master][INFO] 2019-06-24 12:31:39,025: +PARAM [/gazebo/time_step] by /gazebo
[rosmaster.master][INFO] 2019-06-24 12:31:39,026: +PARAM [/gazebo/max_update_rate] by /gazebo
[rosmaster.master][INFO] 2019-06-24 12:31:39,028: +PARAM [/gazebo/gravity_x] by /gazebo
[rosmaster.master][INFO] 2019-06-24 12:31:39,029: +PARAM [/gazebo/gravity_y] by /gazebo
[rosmaster.master][INFO] 2019-06-24 12:31:39,030: +PARAM [/gazebo/gravity_z] by /gazebo
[rosmaster.master][INFO] 2019-06-24 12:31:39,031: +PARAM [/gazebo/auto_disable_bodies] by /gazebo
[rosmaster.master][INFO] 2019-06-24 12:31:39,035: +PARAM [/gazebo/sor_pgs_precon_iters] by /gazebo
[rosmaster.master][INFO] 2019-06-24 12:31:39,036: +PARAM [/gazebo/sor_pgs_iters] by /gazebo
[rosmaster.master][INFO] 2019-06-24 12:31:39,037: +PARAM [/gazebo/sor_pgs_w] by /gazebo
[rosmaster.master][INFO] 2019-06-24 12:31:39,038: +PARAM [/gazebo/sor_pgs_rms_error_tol] by /gazebo
[rosmaster.master][INFO] 2019-06-24 12:31:39,039: +PARAM [/gazebo/cfm] by /gazebo
[rosmaster.master][INFO] 2019-06-24 12:31:39,041: +PARAM [/gazebo/erp] by /gazebo
[rosmaster.master][INFO] 2019-06-24 12:31:39,042: +PARAM [/gazebo/contact_surface_layer] by /gazebo
[rosmaster.master][INFO] 2019-06-24 12:31:39,043: +PARAM [/gazebo/contact_max_correcting_vel] by /gazebo
