[rosmaster.main][INFO] 2019-06-28 14:07:06,874: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-28 14:07:06,874: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-28 14:07:06,879: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-06-28 14:07:06,879: Started XML-RPC server [http://dc5b429f784e:11311/]
[xmlrpc][INFO] 2019-06-28 14:07:06,879: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-28 14:07:06,880: Master initialized: port[11311], uri[http://dc5b429f784e:11311/]
[rosmaster.master][INFO] 2019-06-28 14:07:06,894: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-28 14:07:06,896: +PARAM [/roslaunch/uris/host_dc5b429f784e__43923] by /roslaunch
[rosmaster.master][INFO] 2019-06-28 14:07:07,294: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-06-28 14:07:07,294: +PARAM [/joint_state_publisher/use_gui] by /roslaunch
[rosmaster.master][INFO] 2019-06-28 14:07:07,294: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-06-28 14:07:07,294: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2019-06-28 14:07:07,309: +SERVICE [/rosout/get_loggers] /rosout http://dc5b429f784e:34401/
[rosmaster.master][INFO] 2019-06-28 14:07:07,310: +SERVICE [/rosout/set_logger_level] /rosout http://dc5b429f784e:34401/
[rosmaster.master][INFO] 2019-06-28 14:07:07,311: +PUB [/rosout_agg] /rosout http://dc5b429f784e:34401/
[rosmaster.master][INFO] 2019-06-28 14:07:07,316: +SUB [/rosout] /rosout http://dc5b429f784e:34401/
[rosmaster.master][INFO] 2019-06-28 14:07:07,862: +PUB [/rosout] /robot_state_publisher http://dc5b429f784e:34935/
[rosmaster.master][INFO] 2019-06-28 14:07:07,863: +SERVICE [/robot_state_publisher/get_loggers] /robot_state_publisher http://dc5b429f784e:34935/
[rosmaster.master][INFO] 2019-06-28 14:07:07,864: +SERVICE [/robot_state_publisher/set_logger_level] /robot_state_publisher http://dc5b429f784e:34935/
[rosmaster.master][INFO] 2019-06-28 14:07:07,869: +PUB [/tf] /robot_state_publisher http://dc5b429f784e:34935/
[rosmaster.master][INFO] 2019-06-28 14:07:07,870: +PUB [/tf_static] /robot_state_publisher http://dc5b429f784e:34935/
[rosmaster.master][INFO] 2019-06-28 14:07:07,879: +SUB [/joint_states] /robot_state_publisher http://dc5b429f784e:34935/
[rosmaster.master][INFO] 2019-06-28 14:07:07,880: publisherUpdate[/rosout] -> http://dc5b429f784e:34401/ ['http://dc5b429f784e:34935/']
