[rosmaster.main][INFO] 2019-06-14 10:42:02,278: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-14 10:42:02,278: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-14 10:42:02,279: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-06-14 10:42:02,280: Started XML-RPC server [http://dc5b429f784e:11311/]
[xmlrpc][INFO] 2019-06-14 10:42:02,280: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-14 10:42:02,280: Master initialized: port[11311], uri[http://dc5b429f784e:11311/]
[rosmaster.master][INFO] 2019-06-14 10:42:02,293: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-14 10:42:02,294: +PARAM [/roslaunch/uris/host_dc5b429f784e__33441] by /roslaunch
[rosmaster.master][INFO] 2019-06-14 10:42:02,659: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-06-14 10:42:02,659: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2019-06-14 10:42:02,659: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-06-14 10:42:02,659: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2019-06-14 10:42:02,673: +SERVICE [/rosout/get_loggers] /rosout http://dc5b429f784e:33531/
[rosmaster.master][INFO] 2019-06-14 10:42:02,674: +SERVICE [/rosout/set_logger_level] /rosout http://dc5b429f784e:33531/
[rosmaster.master][INFO] 2019-06-14 10:42:02,681: +SUB [/clock] /rosout http://dc5b429f784e:33531/
[rosmaster.master][INFO] 2019-06-14 10:42:02,683: +PUB [/rosout_agg] /rosout http://dc5b429f784e:33531/
[rosmaster.master][INFO] 2019-06-14 10:42:02,688: +SUB [/rosout] /rosout http://dc5b429f784e:33531/
[rosmaster.master][INFO] 2019-06-14 10:42:03,374: +PUB [/rosout] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:03,375: +SERVICE [/gazebo/get_loggers] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:03,376: +SERVICE [/gazebo/set_logger_level] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:03,381: publisherUpdate[/rosout] -> http://dc5b429f784e:33531/ ['http://dc5b429f784e:44473/']
[rosmaster.master][INFO] 2019-06-14 10:42:03,385: publisherUpdate[/rosout] -> http://dc5b429f784e:33531/ ['http://dc5b429f784e:44473/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-06-14 10:42:03,386: +SUB [/clock] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:03,676: +PUB [/clock] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:03,677: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:03,678: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:03,679: +SERVICE [/gazebo/delete_model] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:03,680: +SERVICE [/gazebo/delete_light] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:03,681: +SERVICE [/gazebo/get_model_properties] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:03,682: publisherUpdate[/clock] -> http://dc5b429f784e:33531/ ['http://dc5b429f784e:44473/']
[rosmaster.master][INFO] 2019-06-14 10:42:03,682: publisherUpdate[/clock] -> http://dc5b429f784e:44473/ ['http://dc5b429f784e:44473/']
[rosmaster.master][INFO] 2019-06-14 10:42:03,683: +SERVICE [/gazebo/get_model_state] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:03,684: publisherUpdate[/clock] -> http://dc5b429f784e:33531/ ['http://dc5b429f784e:44473/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-06-14 10:42:03,684: publisherUpdate[/clock] -> http://dc5b429f784e:44473/ ['http://dc5b429f784e:44473/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-06-14 10:42:03,686: +SERVICE [/gazebo/get_world_properties] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:03,687: +SERVICE [/gazebo/get_joint_properties] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:03,688: +SERVICE [/gazebo/get_link_properties] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:03,689: +SERVICE [/gazebo/get_link_state] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:03,690: +SERVICE [/gazebo/get_light_properties] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:03,691: +SERVICE [/gazebo/set_light_properties] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:03,692: +SERVICE [/gazebo/get_physics_properties] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:03,693: +PUB [/gazebo/link_states] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:03,695: +PUB [/gazebo/model_states] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:03,696: +SERVICE [/gazebo/set_link_properties] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:03,697: +SERVICE [/gazebo/set_physics_properties] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:03,698: +SERVICE [/gazebo/set_model_state] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:03,699: +SERVICE [/gazebo/set_model_configuration] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:03,701: +SERVICE [/gazebo/set_joint_properties] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:03,702: +SERVICE [/gazebo/set_link_state] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:03,708: +SUB [/gazebo/set_link_state] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:03,713: +SUB [/gazebo/set_model_state] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:03,714: +SERVICE [/gazebo/pause_physics] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:03,715: +SERVICE [/gazebo/unpause_physics] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:03,716: +SERVICE [/gazebo/apply_body_wrench] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:03,717: +SERVICE [/gazebo/apply_joint_effort] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:03,719: +SERVICE [/gazebo/clear_joint_forces] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:03,719: +SERVICE [/gazebo/clear_body_wrenches] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:03,721: +SERVICE [/gazebo/reset_simulation] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:03,721: +SERVICE [/gazebo/reset_world] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:04,365: +PUB [/rosout] /urdf_spawner http://dc5b429f784e:43803/
[rosmaster.master][INFO] 2019-06-14 10:42:04,369: +SUB [/clock] /urdf_spawner http://dc5b429f784e:43803/
[rosmaster.master][INFO] 2019-06-14 10:42:04,371: +SERVICE [/urdf_spawner/get_loggers] /urdf_spawner http://dc5b429f784e:43803/
[rosmaster.master][INFO] 2019-06-14 10:42:04,372: +SERVICE [/urdf_spawner/set_logger_level] /urdf_spawner http://dc5b429f784e:43803/
[rosmaster.master][INFO] 2019-06-14 10:42:04,386: publisherUpdate[/rosout] -> http://dc5b429f784e:33531/ ['http://dc5b429f784e:44473/', 'http://dc5b429f784e:43803/']
[rosmaster.master][INFO] 2019-06-14 10:42:04,387: publisherUpdate[/rosout] -> http://dc5b429f784e:33531/ ['http://dc5b429f784e:44473/', 'http://dc5b429f784e:43803/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-06-14 10:42:04,765: -SUB [/clock] /urdf_spawner http://dc5b429f784e:43803/
[rosmaster.master][INFO] 2019-06-14 10:42:04,765: -PUB [/rosout] /urdf_spawner http://dc5b429f784e:43803/
[rosmaster.master][INFO] 2019-06-14 10:42:04,765: -SERVICE [/urdf_spawner/set_logger_level] /urdf_spawner rosrpc://dc5b429f784e:46537
[rosmaster.master][INFO] 2019-06-14 10:42:04,765: -SERVICE [/urdf_spawner/get_loggers] /urdf_spawner rosrpc://dc5b429f784e:46537
[rosmaster.master][INFO] 2019-06-14 10:42:04,787: publisherUpdate[/rosout] -> http://dc5b429f784e:33531/ ['http://dc5b429f784e:44473/']
[rosmaster.master][INFO] 2019-06-14 10:42:04,788: publisherUpdate[/rosout] -> http://dc5b429f784e:33531/ ['http://dc5b429f784e:44473/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-06-14 10:42:05,203: +SERVICE [/robot/camera1/set_camera_info] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:05,207: +SERVICE [/robot/camera1/set_parameters] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:05,208: +PUB [/robot/camera1/parameter_descriptions] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:05,209: +PUB [/robot/camera1/parameter_updates] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:05,212: +PARAM [/robot/camera1/imager_rate] by /gazebo
[rosmaster.master][INFO] 2019-06-14 10:42:05,213: +PARAM [/robot/camera1/imager_rate] by /gazebo
[rosmaster.master][INFO] 2019-06-14 10:42:05,248: +PUB [/robot/camera1/image_raw/compressedDepth] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:05,249: +SERVICE [/robot/camera1/image_raw/compressedDepth/set_parameters] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:05,250: +PUB [/robot/camera1/image_raw/compressedDepth/parameter_descriptions] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:05,251: +PUB [/robot/camera1/image_raw/compressedDepth/parameter_updates] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:05,254: +PARAM [/robot/camera1/image_raw/compressedDepth/depth_max] by /gazebo
[rosmaster.master][INFO] 2019-06-14 10:42:05,255: +PARAM [/robot/camera1/image_raw/compressedDepth/depth_quantization] by /gazebo
[rosmaster.master][INFO] 2019-06-14 10:42:05,257: +PARAM [/robot/camera1/image_raw/compressedDepth/png_level] by /gazebo
[rosmaster.master][INFO] 2019-06-14 10:42:05,261: +PARAM [/robot/camera1/image_raw/compressedDepth/depth_max] by /gazebo
[rosmaster.master][INFO] 2019-06-14 10:42:05,263: +PARAM [/robot/camera1/image_raw/compressedDepth/depth_quantization] by /gazebo
[rosmaster.master][INFO] 2019-06-14 10:42:05,264: +PUB [/tf] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:05,266: +PARAM [/robot/camera1/image_raw/compressedDepth/png_level] by /gazebo
[rosmaster.master][INFO] 2019-06-14 10:42:05,270: +SUB [/robot/cmd_vel] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:05,272: +PUB [/robot/camera1/image_raw/compressed] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:05,274: +PUB [/robot/odom] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:05,274: +SERVICE [/robot/camera1/image_raw/compressed/set_parameters] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:05,275: +PUB [/robot/camera1/image_raw/compressed/parameter_descriptions] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:05,276: +PUB [/robot/camera1/image_raw/compressed/parameter_updates] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:05,280: +PARAM [/robot/camera1/image_raw/compressed/format] by /gazebo
[rosmaster.master][INFO] 2019-06-14 10:42:05,280: +PARAM [/robot/camera1/image_raw/compressed/jpeg_quality] by /gazebo
[rosmaster.master][INFO] 2019-06-14 10:42:05,281: +PARAM [/robot/camera1/image_raw/compressed/png_level] by /gazebo
[rosmaster.master][INFO] 2019-06-14 10:42:05,282: +PARAM [/robot/camera1/image_raw/compressed/format] by /gazebo
[rosmaster.master][INFO] 2019-06-14 10:42:05,283: +PARAM [/robot/camera1/image_raw/compressed/jpeg_quality] by /gazebo
[rosmaster.master][INFO] 2019-06-14 10:42:05,284: +PARAM [/robot/camera1/image_raw/compressed/png_level] by /gazebo
[rosmaster.master][INFO] 2019-06-14 10:42:05,297: +PUB [/robot/camera1/image_raw] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:05,301: +PUB [/robot/camera1/image_raw/theora] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:05,302: +SERVICE [/robot/camera1/image_raw/theora/set_parameters] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:05,303: +PUB [/robot/camera1/image_raw/theora/parameter_descriptions] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:05,304: +PUB [/robot/camera1/image_raw/theora/parameter_updates] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:05,310: +PARAM [/robot/camera1/image_raw/theora/optimize_for] by /gazebo
[rosmaster.master][INFO] 2019-06-14 10:42:05,311: +PARAM [/robot/camera1/image_raw/theora/target_bitrate] by /gazebo
[rosmaster.master][INFO] 2019-06-14 10:42:05,312: +PARAM [/robot/camera1/image_raw/theora/quality] by /gazebo
[rosmaster.master][INFO] 2019-06-14 10:42:05,313: +PARAM [/robot/camera1/image_raw/theora/keyframe_frequency] by /gazebo
[rosmaster.master][INFO] 2019-06-14 10:42:05,314: +PARAM [/robot/camera1/image_raw/theora/optimize_for] by /gazebo
[rosmaster.master][INFO] 2019-06-14 10:42:05,316: +PARAM [/robot/camera1/image_raw/theora/target_bitrate] by /gazebo
[rosmaster.master][INFO] 2019-06-14 10:42:05,317: +PARAM [/robot/camera1/image_raw/theora/quality] by /gazebo
[rosmaster.master][INFO] 2019-06-14 10:42:05,318: +PARAM [/robot/camera1/image_raw/theora/keyframe_frequency] by /gazebo
[rosmaster.master][INFO] 2019-06-14 10:42:05,319: +PUB [/robot/camera1/camera_info] /gazebo http://dc5b429f784e:44473/
[rosmaster.master][INFO] 2019-06-14 10:42:41,803: +PUB [/rosout] /rostopic_27345_1560508961640 http://dc5b429f784e:33061/
[rosmaster.master][INFO] 2019-06-14 10:42:41,806: +SUB [/clock] /rostopic_27345_1560508961640 http://dc5b429f784e:33061/
[rosmaster.master][INFO] 2019-06-14 10:42:41,808: +SERVICE [/rostopic_27345_1560508961640/get_loggers] /rostopic_27345_1560508961640 http://dc5b429f784e:33061/
[rosmaster.master][INFO] 2019-06-14 10:42:41,809: +SERVICE [/rostopic_27345_1560508961640/set_logger_level] /rostopic_27345_1560508961640 http://dc5b429f784e:33061/
[rosmaster.master][INFO] 2019-06-14 10:42:41,850: +SUB [/tf] /rostopic_27345_1560508961640 http://dc5b429f784e:33061/
[rosmaster.master][INFO] 2019-06-14 10:42:41,853: publisherUpdate[/rosout] -> http://dc5b429f784e:33531/ ['http://dc5b429f784e:44473/', 'http://dc5b429f784e:33061/']
[rosmaster.master][INFO] 2019-06-14 10:42:41,853: publisherUpdate[/rosout] -> http://dc5b429f784e:33531/ ['http://dc5b429f784e:44473/', 'http://dc5b429f784e:33061/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-06-14 10:42:42,906: -SUB [/clock] /rostopic_27345_1560508961640 http://dc5b429f784e:33061/
[rosmaster.master][INFO] 2019-06-14 10:42:42,906: -SUB [/tf] /rostopic_27345_1560508961640 http://dc5b429f784e:33061/
