[rosmaster.main][INFO] 2019-06-25 15:15:42,387: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-25 15:15:42,387: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-25 15:15:42,388: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-06-25 15:15:42,388: Started XML-RPC server [http://dc5b429f784e:11311/]
[xmlrpc][INFO] 2019-06-25 15:15:42,388: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-25 15:15:42,389: Master initialized: port[11311], uri[http://dc5b429f784e:11311/]
[rosmaster.master][INFO] 2019-06-25 15:15:42,491: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 15:15:42,493: +PARAM [/roslaunch/uris/host_dc5b429f784e__34985] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 15:15:42,889: +SERVICE [/rosout/get_loggers] /rosout http://dc5b429f784e:36129/
[rosmaster.master][INFO] 2019-06-25 15:15:42,893: +SERVICE [/rosout/set_logger_level] /rosout http://dc5b429f784e:36129/
[rosmaster.master][INFO] 2019-06-25 15:15:42,896: +PUB [/rosout_agg] /rosout http://dc5b429f784e:36129/
[rosmaster.master][INFO] 2019-06-25 15:15:42,905: +SUB [/rosout] /rosout http://dc5b429f784e:36129/
[rosmaster.master][INFO] 2019-06-25 15:15:42,914: +PARAM [/r_arm_controller/gains/r_forearm_roll_joint/p] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 15:15:42,914: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 15:15:42,914: +PARAM [/base_controller/fl_caster_rotation_joint/position_controller/d] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 15:15:42,915: +PARAM [/base_controller/br_caster_l_wheel_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 15:15:42,915: +PARAM [/base_controller/bl_caster_rotation_joint/position_controller/d] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 15:15:42,915: +PARAM [/r_arm_controller/gains/r_wrist_flex_joint/i] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 15:15:42,915: +PARAM [/base_controller/fl_caster_rotation_joint/velocity_controller/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 15:15:42,915: +PARAM [/laser_tilt_controller/gains/d] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 15:15:42,915: +PARAM [/robot_pose_ekf/odom_used] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 15:15:42,915: +PARAM [/base_controller/caster_velocity_filter/type] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 15:15:42,915: +PARAM [/robot_pose_ekf/vo_used] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 15:15:42,915: +PARAM [/l_arm_controller/joint_trajectory_action_node/constraints/l_wrist_roll_joint/goal] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 15:15:42,915: +PARAM [/base_hokuyo_node/skip] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 15:15:42,915: +PARAM [/base_controller/bl_caster_rotation_joint/position_controller/p] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 15:15:42,915: +PARAM [/r_arm_controller/gains/r_forearm_roll_joint/d] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 15:15:42,916: +PARAM [/r_arm_controller/gains/r_forearm_roll_joint/i] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 15:15:42,916: +PARAM [/base_odometry/caster_names] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 15:15:42,916: +PARAM [/base_controller/fl_caster_rotation_joint/position_controller/i] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 15:15:42,916: +PARAM [/pr2_controller_manager/joint_state_publish_rate] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 15:15:42,916: +PARAM [/l_arm_controller/gains/l_upper_arm_roll_joint/p] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 15:15:42,916: +PARAM [/base_controller/br_caster_rotation_joint/velocity_controller/d] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 15:15:42,916: +PARAM [/base_controller/fl_caster_rotation_joint/position_controller/p] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 15:15:42,916: +PARAM [/base_controller/caster_velocity_pid_gains/i] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 15:15:42,916: +PARAM [/base_controller/br_caster_rotation_joint/velocity_controller/i] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 15:15:42,916: +PARAM [/wide_stereo/wide_stereo_proc/disparity_range] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 15:15:42,916: +PARAM [/r_arm_controller/gains/r_shoulder_lift_joint/p] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 15:15:42,916: +PARAM [/l_arm_controller/gains/l_wrist_roll_joint/d] by /roslaunch
