

0.000000000  Node Startup
0.000000000 INFO [/tmp/binarydeb/ros-kinetic-roscpp-1.12.13/src/libros/service.cpp:80(service::exists) [topics: /rosout] waitForService: Service [/gazebo/set_physics_properties] has not been advertised, waiting...
591.347000000 INFO [/tmp/binarydeb/ros-kinetic-roscpp-1.12.13/src/libros/service.cpp:122(service::waitForService) [topics: /rosout, /clock, /gazebo/link_states, /gazebo/model_states] waitForService: Service [/gazebo/set_physics_properties] is now available.
591.431000000 INFO [/tmp/binarydeb/ros-kinetic-gazebo-ros-2.5.14/src/gazebo_ros_api_plugin.cpp:2083(GazeboRosApiPlugin::physicsReconfigureThread) [topics: /rosout, /clock, /gazebo/link_states, /gazebo/model_states, /gazebo/parameter_descriptions, /gazebo/parameter_updates] Physics dynamic reconfigure ready.
592.093000000 INFO [/tmp/binarydeb/ros-kinetic-gazebo-plugins-2.5.14/include/gazebo_plugins/gazebo_ros_utils.h:95(__cxx11::string gazebo::GetRobotNamespace) [topics: /rosout, /clock, /gazebo/link_states, /gazebo/model_states, /gazebo/parameter_descriptions, /gazebo/parameter_updates] Laser Plugin: Using the 'robotNamespace' param: '/'
592.093000000 INFO [/tmp/binarydeb/ros-kinetic-gazebo-plugins-2.5.14/src/gazebo_ros_laser.cpp:111(GazeboRosLaser::Load) [topics: /rosout, /clock, /gazebo/link_states, /gazebo/model_states, /gazebo/parameter_descriptions, /gazebo/parameter_updates] Starting Laser Plugin (ns = /)
592.093000000 INFO [/tmp/binarydeb/ros-kinetic-gazebo-plugins-2.5.14/src/gazebo_ros_laser.cpp:135(GazeboRosLaser::LoadThread) [topics: /rosout, /clock, /gazebo/link_states, /gazebo/model_states, /gazebo/parameter_descriptions, /gazebo/parameter_updates] Laser Plugin (ns = /)  <tf_prefix_>, set to ""
592.093000000 INFO [/tmp/binarydeb/ros-kinetic-gazebo-plugins-2.5.14/src/gazebo_ros_utils.cpp:57(GazeboRos::readCommonParameter) [topics: /rosout, /clock, /gazebo/link_states, /gazebo/model_states, /gazebo/parameter_descriptions, /gazebo/parameter_updates, /m2wr/laser/scan] Starting plugin DiffDrive(ns = //)
592.093000000 INFO [/tmp/binarydeb/ros-kinetic-gazebo-plugins-2.5.14/src/gazebo_ros_utils.cpp:83(GazeboRos::readCommonParameter) [topics: /rosout, /clock, /gazebo/link_states, /gazebo/model_states, /gazebo/parameter_descriptions, /gazebo/parameter_updates, /m2wr/laser/scan] DiffDrive(ns = //): <rosDebugLevel> = na
592.093000000 INFO [/tmp/binarydeb/ros-kinetic-gazebo-plugins-2.5.14/src/gazebo_ros_utils.cpp:93(GazeboRos::readCommonParameter) [topics: /rosout, /clock, /gazebo/link_states, /gazebo/model_states, /gazebo/parameter_descriptions, /gazebo/parameter_updates, /m2wr/laser/scan] DiffDrive(ns = //): <tf_prefix> = 
592.093000000 INFO [/tmp/binarydeb/ros-kinetic-gazebo-plugins-2.5.14/src/gazebo_ros_diff_drive.cpp:152(GazeboRosDiffDrive::Load) [topics: /rosout, /clock, /gazebo/link_states, /gazebo/model_states, /gazebo/parameter_descriptions, /gazebo/parameter_updates, /m2wr/laser/scan, /joint_states] DiffDrive(ns = //): Advertise joint_states
592.093000000 INFO [/tmp/binarydeb/ros-kinetic-gazebo-plugins-2.5.14/src/gazebo_ros_diff_drive.cpp:158(GazeboRosDiffDrive::Load) [topics: /rosout, /clock, /gazebo/link_states, /gazebo/model_states, /gazebo/parameter_descriptions, /gazebo/parameter_updates, /m2wr/laser/scan, /joint_states, /tf] DiffDrive(ns = //): Try to subscribe to cmd_vel
592.093000000 INFO [/tmp/binarydeb/ros-kinetic-gazebo-plugins-2.5.14/src/gazebo_ros_diff_drive.cpp:166(GazeboRosDiffDrive::Load) [topics: /rosout, /clock, /gazebo/link_states, /gazebo/model_states, /gazebo/parameter_descriptions, /gazebo/parameter_updates, /m2wr/laser/scan, /joint_states, /tf] DiffDrive(ns = //): Subscribe to cmd_vel
592.093000000 INFO [/tmp/binarydeb/ros-kinetic-gazebo-plugins-2.5.14/src/gazebo_ros_diff_drive.cpp:171(GazeboRosDiffDrive::Load) [topics: /rosout, /clock, /gazebo/link_states, /gazebo/model_states, /gazebo/parameter_descriptions, /gazebo/parameter_updates, /m2wr/laser/scan, /joint_states, /tf, /odom] DiffDrive(ns = //): Advertise odom on odom 
930.387000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.175156593322754, 9.70855712890625, 9.254947662353516, 9.963517189025879, 8.962284088134766]
930.435000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.176885604858398, 9.72543716430664, 9.266623497009277, 9.978961944580078, 8.970213890075684]
930.487000000 INFO [reading_laser.py:15(clbk_laser) [topics: /clock, /m2wr/laser/scan, /rosout] [9.165721893310547, 9.70842170715332, 9.263286590576172, 9.97856616973877, 8.969354629516602]
