[rosmaster.main][INFO] 2020-07-02 13:29:59,773: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-07-02 13:29:59,773: Starting ROS Master Node
[xmlrpc][INFO] 2020-07-02 13:29:59,774: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-07-02 13:29:59,774: Started XML-RPC server [http://177b797fd17c:11311/]
[xmlrpc][INFO] 2020-07-02 13:29:59,775: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-07-02 13:29:59,775: Master initialized: port[11311], uri[http://177b797fd17c:11311/]
[rosmaster.master][INFO] 2020-07-02 13:29:59,871: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:29:59,873: +PARAM [/roslaunch/uris/host_177b797fd17c__45629] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:30:00,427: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:30:00,427: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:30:00,429: +PARAM [/robot2/robot_description] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:30:00,429: +PARAM [/robot1/tf_prefix] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:30:00,430: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:30:00,430: +PARAM [/robot1/robot_description] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:30:00,432: +SERVICE [/rosout/get_loggers] /rosout http://177b797fd17c:34115/
[rosmaster.master][INFO] 2020-07-02 13:30:00,434: +SERVICE [/rosout/set_logger_level] /rosout http://177b797fd17c:34115/
[rosmaster.master][INFO] 2020-07-02 13:30:00,441: +SUB [/clock] /rosout http://177b797fd17c:34115/
[rosmaster.master][INFO] 2020-07-02 13:30:00,442: +PUB [/rosout_agg] /rosout http://177b797fd17c:34115/
[rosmaster.master][INFO] 2020-07-02 13:30:00,447: +SUB [/rosout] /rosout http://177b797fd17c:34115/
[rosmaster.master][INFO] 2020-07-02 13:30:01,175: +PUB [/rosout] /gazebo http://177b797fd17c:34497/
[rosmaster.master][INFO] 2020-07-02 13:30:01,177: +SERVICE [/gazebo/get_loggers] /gazebo http://177b797fd17c:34497/
[rosmaster.master][INFO] 2020-07-02 13:30:01,176: publisherUpdate[/rosout] -> http://177b797fd17c:34115/ ['http://177b797fd17c:34497/']
[rosmaster.master][INFO] 2020-07-02 13:30:01,178: +SERVICE [/gazebo/set_logger_level] /gazebo http://177b797fd17c:34497/
[rosmaster.master][INFO] 2020-07-02 13:30:01,181: publisherUpdate[/rosout] -> http://177b797fd17c:34115/ ['http://177b797fd17c:34497/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-07-02 13:30:01,185: +SUB [/clock] /gazebo http://177b797fd17c:34497/
[rosmaster.master][INFO] 2020-07-02 13:30:01,527: +PUB [/clock] /gazebo http://177b797fd17c:34497/
[rosmaster.master][INFO] 2020-07-02 13:30:01,530: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://177b797fd17c:34497/
[rosmaster.master][INFO] 2020-07-02 13:30:01,533: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://177b797fd17c:34497/
[rosmaster.master][INFO] 2020-07-02 13:30:01,534: +SERVICE [/gazebo/delete_model] /gazebo http://177b797fd17c:34497/
[rosmaster.master][INFO] 2020-07-02 13:30:01,535: +SERVICE [/gazebo/delete_light] /gazebo http://177b797fd17c:34497/
[rosmaster.master][INFO] 2020-07-02 13:30:01,537: +SERVICE [/gazebo/get_model_properties] /gazebo http://177b797fd17c:34497/
[rosmaster.master][INFO] 2020-07-02 13:30:01,538: +SERVICE [/gazebo/get_model_state] /gazebo http://177b797fd17c:34497/
[rosmaster.master][INFO] 2020-07-02 13:30:01,539: +SERVICE [/gazebo/get_world_properties] /gazebo http://177b797fd17c:34497/
[rosmaster.master][INFO] 2020-07-02 13:30:01,540: +SERVICE [/gazebo/get_joint_properties] /gazebo http://177b797fd17c:34497/
[rosmaster.master][INFO] 2020-07-02 13:30:01,541: +SERVICE [/gazebo/get_link_properties] /gazebo http://177b797fd17c:34497/
[rosmaster.master][INFO] 2020-07-02 13:30:01,542: +SERVICE [/gazebo/get_link_state] /gazebo http://177b797fd17c:34497/
[rosmaster.master][INFO] 2020-07-02 13:30:01,543: +SERVICE [/gazebo/get_light_properties] /gazebo http://177b797fd17c:34497/
[rosmaster.master][INFO] 2020-07-02 13:30:01,544: +SERVICE [/gazebo/set_light_properties] /gazebo http://177b797fd17c:34497/
[rosmaster.master][INFO] 2020-07-02 13:30:01,546: +SERVICE [/gazebo/get_physics_properties] /gazebo http://177b797fd17c:34497/
[rosmaster.master][INFO] 2020-07-02 13:30:01,547: +PUB [/gazebo/link_states] /gazebo http://177b797fd17c:34497/
[rosmaster.master][INFO] 2020-07-02 13:30:01,548: +PUB [/gazebo/model_states] /gazebo http://177b797fd17c:34497/
[rosmaster.master][INFO] 2020-07-02 13:30:01,549: +SERVICE [/gazebo/set_link_properties] /gazebo http://177b797fd17c:34497/
[rosmaster.master][INFO] 2020-07-02 13:30:01,550: +SERVICE [/gazebo/set_physics_properties] /gazebo http://177b797fd17c:34497/
[rosmaster.master][INFO] 2020-07-02 13:30:01,551: +SERVICE [/gazebo/set_model_state] /gazebo http://177b797fd17c:34497/
[rosmaster.master][INFO] 2020-07-02 13:30:01,552: +SERVICE [/gazebo/set_model_configuration] /gazebo http://177b797fd17c:34497/
[rosmaster.master][INFO] 2020-07-02 13:30:01,553: +SERVICE [/gazebo/set_joint_properties] /gazebo http://177b797fd17c:34497/
[rosmaster.master][INFO] 2020-07-02 13:30:01,554: +SERVICE [/gazebo/set_link_state] /gazebo http://177b797fd17c:34497/
[rosmaster.master][INFO] 2020-07-02 13:30:01,563: +SUB [/gazebo/set_link_state] /gazebo http://177b797fd17c:34497/
[rosmaster.master][INFO] 2020-07-02 13:30:01,568: +SUB [/gazebo/set_model_state] /gazebo http://177b797fd17c:34497/
