[rosmaster.main][INFO] 2020-07-02 13:37:10,819: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-07-02 13:37:10,819: Starting ROS Master Node
[xmlrpc][INFO] 2020-07-02 13:37:10,821: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-07-02 13:37:10,821: Started XML-RPC server [http://177b797fd17c:11311/]
[xmlrpc][INFO] 2020-07-02 13:37:10,821: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-07-02 13:37:10,821: Master initialized: port[11311], uri[http://177b797fd17c:11311/]
[rosmaster.master][INFO] 2020-07-02 13:37:10,912: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:37:10,914: +PARAM [/roslaunch/uris/host_177b797fd17c__38227] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:37:11,471: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:37:11,472: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:37:11,472: +PARAM [/robot2/robot_description] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:37:11,472: +PARAM [/robot2/tf_prefix] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:37:11,472: +PARAM [/robot1/tf_prefix] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:37:11,472: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:37:11,472: +PARAM [/robot1/robot_description] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:37:11,473: +SERVICE [/rosout/get_loggers] /rosout http://177b797fd17c:42317/
[rosmaster.master][INFO] 2020-07-02 13:37:11,474: +SERVICE [/rosout/set_logger_level] /rosout http://177b797fd17c:42317/
[rosmaster.master][INFO] 2020-07-02 13:37:11,480: +SUB [/clock] /rosout http://177b797fd17c:42317/
[rosmaster.master][INFO] 2020-07-02 13:37:11,481: +PUB [/rosout_agg] /rosout http://177b797fd17c:42317/
[rosmaster.master][INFO] 2020-07-02 13:37:11,486: +SUB [/rosout] /rosout http://177b797fd17c:42317/
[rosmaster.master][INFO] 2020-07-02 13:37:12,248: +PUB [/rosout] /gazebo http://177b797fd17c:36801/
[rosmaster.master][INFO] 2020-07-02 13:37:12,249: +SERVICE [/gazebo/get_loggers] /gazebo http://177b797fd17c:36801/
[rosmaster.master][INFO] 2020-07-02 13:37:12,250: +SERVICE [/gazebo/set_logger_level] /gazebo http://177b797fd17c:36801/
[rosmaster.master][INFO] 2020-07-02 13:37:12,256: +SUB [/clock] /gazebo http://177b797fd17c:36801/
[rosmaster.master][INFO] 2020-07-02 13:37:12,323: publisherUpdate[/rosout] -> http://177b797fd17c:42317/ ['http://177b797fd17c:36801/']
[rosmaster.master][INFO] 2020-07-02 13:37:12,324: publisherUpdate[/rosout] -> http://177b797fd17c:42317/ ['http://177b797fd17c:36801/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-07-02 13:37:12,665: +PUB [/clock] /gazebo http://177b797fd17c:36801/
[rosmaster.master][INFO] 2020-07-02 13:37:12,666: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://177b797fd17c:36801/
[rosmaster.master][INFO] 2020-07-02 13:37:12,667: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://177b797fd17c:36801/
[rosmaster.master][INFO] 2020-07-02 13:37:12,668: +SERVICE [/gazebo/delete_model] /gazebo http://177b797fd17c:36801/
[rosmaster.master][INFO] 2020-07-02 13:37:12,671: +SERVICE [/gazebo/delete_light] /gazebo http://177b797fd17c:36801/
[rosmaster.master][INFO] 2020-07-02 13:37:12,672: +SERVICE [/gazebo/get_model_properties] /gazebo http://177b797fd17c:36801/
[rosmaster.master][INFO] 2020-07-02 13:37:12,673: +SERVICE [/gazebo/get_model_state] /gazebo http://177b797fd17c:36801/
[rosmaster.master][INFO] 2020-07-02 13:37:12,674: +SERVICE [/gazebo/get_world_properties] /gazebo http://177b797fd17c:36801/
[rosmaster.master][INFO] 2020-07-02 13:37:12,675: +SERVICE [/gazebo/get_joint_properties] /gazebo http://177b797fd17c:36801/
[rosmaster.master][INFO] 2020-07-02 13:37:12,676: +SERVICE [/gazebo/get_link_properties] /gazebo http://177b797fd17c:36801/
[rosmaster.master][INFO] 2020-07-02 13:37:12,677: +SERVICE [/gazebo/get_link_state] /gazebo http://177b797fd17c:36801/
[rosmaster.master][INFO] 2020-07-02 13:37:12,679: +SERVICE [/gazebo/get_light_properties] /gazebo http://177b797fd17c:36801/
[rosmaster.master][INFO] 2020-07-02 13:37:12,680: +SERVICE [/gazebo/set_light_properties] /gazebo http://177b797fd17c:36801/
[rosmaster.master][INFO] 2020-07-02 13:37:12,681: +SERVICE [/gazebo/get_physics_properties] /gazebo http://177b797fd17c:36801/
[rosmaster.master][INFO] 2020-07-02 13:37:12,682: +PUB [/gazebo/link_states] /gazebo http://177b797fd17c:36801/
[rosmaster.master][INFO] 2020-07-02 13:37:12,683: +PUB [/gazebo/model_states] /gazebo http://177b797fd17c:36801/
[rosmaster.master][INFO] 2020-07-02 13:37:12,684: +SERVICE [/gazebo/set_link_properties] /gazebo http://177b797fd17c:36801/
[rosmaster.master][INFO] 2020-07-02 13:37:12,685: +SERVICE [/gazebo/set_physics_properties] /gazebo http://177b797fd17c:36801/
[rosmaster.master][INFO] 2020-07-02 13:37:12,686: +SERVICE [/gazebo/set_model_state] /gazebo http://177b797fd17c:36801/
[rosmaster.master][INFO] 2020-07-02 13:37:12,687: +SERVICE [/gazebo/set_model_configuration] /gazebo http://177b797fd17c:36801/
[rosmaster.master][INFO] 2020-07-02 13:37:12,688: +SERVICE [/gazebo/set_joint_properties] /gazebo http://177b797fd17c:36801/
[rosmaster.master][INFO] 2020-07-02 13:37:12,689: +SERVICE [/gazebo/set_link_state] /gazebo http://177b797fd17c:36801/
[rosmaster.master][INFO] 2020-07-02 13:37:12,696: +SUB [/gazebo/set_link_state] /gazebo http://177b797fd17c:36801/
[rosmaster.master][INFO] 2020-07-02 13:37:12,702: +SUB [/gazebo/set_model_state] /gazebo http://177b797fd17c:36801/
[rosmaster.master][INFO] 2020-07-02 13:37:12,703: +SERVICE [/gazebo/pause_physics] /gazebo http://177b797fd17c:36801/
[rosmaster.master][INFO] 2020-07-02 13:37:12,704: +SERVICE [/gazebo/unpause_physics] /gazebo http://177b797fd17c:36801/
[rosmaster.master][INFO] 2020-07-02 13:37:12,705: +SERVICE [/gazebo/apply_body_wrench] /gazebo http://177b797fd17c:36801/
[rosmaster.master][INFO] 2020-07-02 13:37:12,706: +SERVICE [/gazebo/apply_joint_effort] /gazebo http://177b797fd17c:36801/
[rosmaster.master][INFO] 2020-07-02 13:37:12,707: +SERVICE [/gazebo/clear_joint_forces] /gazebo http://177b797fd17c:36801/
[rosmaster.master][INFO] 2020-07-02 13:37:12,707: +SERVICE [/gazebo/clear_body_wrenches] /gazebo http://177b797fd17c:36801/
[rosmaster.master][INFO] 2020-07-02 13:37:12,709: +SERVICE [/gazebo/reset_simulation] /gazebo http://177b797fd17c:36801/
[rosmaster.master][INFO] 2020-07-02 13:37:12,710: +SERVICE [/gazebo/reset_world] /gazebo http://177b797fd17c:36801/
[rosmaster.master][INFO] 2020-07-02 13:37:12,724: publisherUpdate[/clock] -> http://177b797fd17c:42317/ ['http://177b797fd17c:36801/']
[rosmaster.master][INFO] 2020-07-02 13:37:12,724: publisherUpdate[/clock] -> http://177b797fd17c:36801/ ['http://177b797fd17c:36801/']
[rosmaster.master][INFO] 2020-07-02 13:37:12,725: publisherUpdate[/clock] -> http://177b797fd17c:42317/ ['http://177b797fd17c:36801/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-07-02 13:37:12,725: publisherUpdate[/clock] -> http://177b797fd17c:36801/ ['http://177b797fd17c:36801/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-07-02 13:37:12,745: +SERVICE [/gazebo/set_parameters] /gazebo http://177b797fd17c:36801/
[rosmaster.master][INFO] 2020-07-02 13:37:12,747: +PUB [/gazebo/parameter_descriptions] /gazebo http://177b797fd17c:36801/
[rosmaster.master][INFO] 2020-07-02 13:37:12,748: +PUB [/gazebo/parameter_updates] /gazebo http://177b797fd17c:36801/
[rosmaster.master][INFO] 2020-07-02 13:37:12,787: +PARAM [/gazebo/time_step] by /gazebo
[rosmaster.master][INFO] 2020-07-02 13:37:12,789: +PARAM [/gazebo/max_update_rate] by /gazebo
[rosmaster.master][INFO] 2020-07-02 13:37:12,793: +PARAM [/gazebo/gravity_x] by /gazebo
[rosmaster.master][INFO] 2020-07-02 13:37:12,794: +PARAM [/gazebo/gravity_y] by /gazebo
[rosmaster.master][INFO] 2020-07-02 13:37:12,798: +PARAM [/gazebo/gravity_z] by /gazebo
[rosmaster.master][INFO] 2020-07-02 13:37:12,799: +PARAM [/gazebo/auto_disable_bodies] by /gazebo
[rosmaster.master][INFO] 2020-07-02 13:37:12,800: +PARAM [/gazebo/sor_pgs_precon_iters] by /gazebo
[rosmaster.master][INFO] 2020-07-02 13:37:12,802: +PARAM [/gazebo/sor_pgs_iters] by /gazebo
[rosmaster.master][INFO] 2020-07-02 13:37:12,803: +PARAM [/gazebo/sor_pgs_w] by /gazebo
[rosmaster.master][INFO] 2020-07-02 13:37:12,805: +PARAM [/gazebo/sor_pgs_rms_error_tol] by /gazebo
[rosmaster.master][INFO] 2020-07-02 13:37:12,806: +PARAM [/gazebo/cfm] by /gazebo
[rosmaster.master][INFO] 2020-07-02 13:37:12,809: +PARAM [/gazebo/erp] by /gazebo
[rosmaster.master][INFO] 2020-07-02 13:37:12,810: +PARAM [/gazebo/contact_surface_layer] by /gazebo
[rosmaster.master][INFO] 2020-07-02 13:37:12,812: +PARAM [/gazebo/contact_max_correcting_vel] by /gazebo
[rosmaster.master][INFO] 2020-07-02 13:37:12,814: +PUB [/rosout] /gazebo_gui http://177b797fd17c:33529/
[rosmaster.master][INFO] 2020-07-02 13:37:12,814: +PARAM [/gazebo/max_contacts] by /gazebo
[rosmaster.master][INFO] 2020-07-02 13:37:12,815: +SERVICE [/gazebo_gui/get_loggers] /gazebo_gui http://177b797fd17c:33529/
[rosmaster.master][INFO] 2020-07-02 13:37:12,821: +SERVICE [/gazebo_gui/set_logger_level] /gazebo_gui http://177b797fd17c:33529/
[rosmaster.master][INFO] 2020-07-02 13:37:12,823: +PARAM [/gazebo/time_step] by /gazebo
[rosmaster.master][INFO] 2020-07-02 13:37:12,824: +PARAM [/gazebo/max_update_rate] by /gazebo
[rosmaster.master][INFO] 2020-07-02 13:37:12,825: publisherUpdate[/rosout] -> http://177b797fd17c:42317/ ['http://177b797fd17c:36801/', 'http://177b797fd17c:33529/']
[rosmaster.master][INFO] 2020-07-02 13:37:12,826: publisherUpdate[/rosout] -> http://177b797fd17c:42317/ ['http://177b797fd17c:36801/', 'http://177b797fd17c:33529/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-07-02 13:37:12,828: +PARAM [/gazebo/gravity_x] by /gazebo
[rosmaster.master][INFO] 2020-07-02 13:37:12,830: +PARAM [/gazebo/gravity_y] by /gazebo
[rosmaster.master][INFO] 2020-07-02 13:37:12,832: +PARAM [/gazebo/gravity_z] by /gazebo
[rosmaster.master][INFO] 2020-07-02 13:37:12,834: +PARAM [/gazebo/auto_disable_bodies] by /gazebo
[rosmaster.master][INFO] 2020-07-02 13:37:12,836: +PARAM [/gazebo/sor_pgs_precon_iters] by /gazebo
[rosmaster.master][INFO] 2020-07-02 13:37:12,837: +SUB [/clock] /gazebo_gui http://177b797fd17c:33529/
[rosmaster.master][INFO] 2020-07-02 13:37:12,838: +PARAM [/gazebo/sor_pgs_iters] by /gazebo
[rosmaster.master][INFO] 2020-07-02 13:37:12,839: +PARAM [/gazebo/sor_pgs_w] by /gazebo
[rosmaster.master][INFO] 2020-07-02 13:37:12,842: +PARAM [/gazebo/sor_pgs_rms_error_tol] by /gazebo
[rosmaster.master][INFO] 2020-07-02 13:37:12,852: +PARAM [/gazebo/cfm] by /gazebo
[rosmaster.master][INFO] 2020-07-02 13:37:12,863: +PARAM [/gazebo/erp] by /gazebo
[rosmaster.master][INFO] 2020-07-02 13:37:12,867: +SERVICE [/gazebo_gui/set_parameters] /gazebo_gui http://177b797fd17c:33529/
[rosmaster.master][INFO] 2020-07-02 13:37:12,872: +PARAM [/gazebo/contact_surface_layer] by /gazebo
[rosmaster.master][INFO] 2020-07-02 13:37:12,874: +PUB [/gazebo_gui/parameter_descriptions] /gazebo_gui http://177b797fd17c:33529/
[rosmaster.master][INFO] 2020-07-02 13:37:12,878: +PARAM [/gazebo/contact_max_correcting_vel] by /gazebo
[rosmaster.master][INFO] 2020-07-02 13:37:12,883: +PUB [/gazebo_gui/parameter_updates] /gazebo_gui http://177b797fd17c:33529/
[rosmaster.master][INFO] 2020-07-02 13:37:12,888: +PARAM [/gazebo/max_contacts] by /gazebo
[rosmaster.master][INFO] 2020-07-02 13:37:12,908: +PARAM [/gazebo_gui/time_step] by /gazebo_gui
[rosmaster.master][INFO] 2020-07-02 13:37:12,909: +PARAM [/gazebo_gui/max_update_rate] by /gazebo_gui
[rosmaster.master][INFO] 2020-07-02 13:37:12,911: +PARAM [/gazebo_gui/gravity_x] by /gazebo_gui
[rosmaster.master][INFO] 2020-07-02 13:37:12,912: +PARAM [/gazebo_gui/gravity_y] by /gazebo_gui
[rosmaster.master][INFO] 2020-07-02 13:37:12,913: +PARAM [/gazebo_gui/gravity_z] by /gazebo_gui
[rosmaster.master][INFO] 2020-07-02 13:37:12,916: +PARAM [/gazebo_gui/auto_disable_bodies] by /gazebo_gui
[rosmaster.master][INFO] 2020-07-02 13:37:12,918: +PARAM [/gazebo_gui/sor_pgs_precon_iters] by /gazebo_gui
[rosmaster.master][INFO] 2020-07-02 13:37:12,921: +PARAM [/gazebo_gui/sor_pgs_iters] by /gazebo_gui
[rosmaster.master][INFO] 2020-07-02 13:37:12,924: +PARAM [/gazebo_gui/sor_pgs_w] by /gazebo_gui
[rosmaster.master][INFO] 2020-07-02 13:37:12,926: +PARAM [/gazebo_gui/sor_pgs_rms_error_tol] by /gazebo_gui
[rosmaster.master][INFO] 2020-07-02 13:37:12,929: +PARAM [/gazebo_gui/cfm] by /gazebo_gui
[rosmaster.master][INFO] 2020-07-02 13:37:12,930: +PARAM [/gazebo_gui/erp] by /gazebo_gui
[rosmaster.master][INFO] 2020-07-02 13:37:12,931: +PARAM [/gazebo_gui/contact_surface_layer] by /gazebo_gui
[rosmaster.master][INFO] 2020-07-02 13:37:12,932: +PARAM [/gazebo_gui/contact_max_correcting_vel] by /gazebo_gui
[rosmaster.master][INFO] 2020-07-02 13:37:12,933: +PARAM [/gazebo_gui/max_contacts] by /gazebo_gui
[rosmaster.master][INFO] 2020-07-02 13:37:12,936: +PARAM [/gazebo_gui/time_step] by /gazebo_gui
[rosmaster.master][INFO] 2020-07-02 13:37:12,937: +PARAM [/gazebo_gui/max_update_rate] by /gazebo_gui
[rosmaster.master][INFO] 2020-07-02 13:37:12,941: +PARAM [/gazebo_gui/gravity_x] by /gazebo_gui
[rosmaster.master][INFO] 2020-07-02 13:37:12,944: +PARAM [/gazebo_gui/gravity_y] by /gazebo_gui
[rosmaster.master][INFO] 2020-07-02 13:37:12,947: +PARAM [/gazebo_gui/gravity_z] by /gazebo_gui
[rosmaster.master][INFO] 2020-07-02 13:37:12,952: +PARAM [/gazebo_gui/auto_disable_bodies] by /gazebo_gui
[rosmaster.master][INFO] 2020-07-02 13:37:12,954: +PARAM [/gazebo_gui/sor_pgs_precon_iters] by /gazebo_gui
[rosmaster.master][INFO] 2020-07-02 13:37:12,956: +PARAM [/gazebo_gui/sor_pgs_iters] by /gazebo_gui
[rosmaster.master][INFO] 2020-07-02 13:37:12,958: +PARAM [/gazebo_gui/sor_pgs_w] by /gazebo_gui
[rosmaster.master][INFO] 2020-07-02 13:37:12,964: +PARAM [/gazebo_gui/sor_pgs_rms_error_tol] by /gazebo_gui
[rosmaster.master][INFO] 2020-07-02 13:37:12,967: +PARAM [/gazebo_gui/cfm] by /gazebo_gui
[rosmaster.master][INFO] 2020-07-02 13:37:12,970: +PARAM [/gazebo_gui/erp] by /gazebo_gui
[rosmaster.master][INFO] 2020-07-02 13:37:12,971: +PARAM [/gazebo_gui/contact_surface_layer] by /gazebo_gui
[rosmaster.master][INFO] 2020-07-02 13:37:12,975: +PARAM [/gazebo_gui/contact_max_correcting_vel] by /gazebo_gui
[rosmaster.master][INFO] 2020-07-02 13:37:12,982: +PARAM [/gazebo_gui/max_contacts] by /gazebo_gui
[rosmaster.master][INFO] 2020-07-02 13:37:13,469: +PUB [/rosout] /robot1/controller http://177b797fd17c:44149/
[rosmaster.master][INFO] 2020-07-02 13:37:13,476: +SERVICE [/robot1/controller/get_loggers] /robot1/controller http://177b797fd17c:44149/
[rosmaster.master][INFO] 2020-07-02 13:37:13,478: +SERVICE [/robot1/controller/set_logger_level] /robot1/controller http://177b797fd17c:44149/
[rosmaster.master][INFO] 2020-07-02 13:37:13,513: +SUB [/clock] /robot1/controller http://177b797fd17c:44149/
[rosmaster.master][INFO] 2020-07-02 13:37:13,517: +PUB [/robot1/cmd_vel] /robot1/controller http://177b797fd17c:44149/
