[rosmaster.main][INFO] 2019-06-25 07:02:21,374: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-25 07:02:21,374: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-25 07:02:21,375: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-06-25 07:02:21,376: Started XML-RPC server [http://dc5b429f784e:11311/]
[xmlrpc][INFO] 2019-06-25 07:02:21,376: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-25 07:02:21,376: Master initialized: port[11311], uri[http://dc5b429f784e:11311/]
[rosmaster.master][INFO] 2019-06-25 07:02:21,397: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 07:02:21,398: +PARAM [/roslaunch/uris/host_dc5b429f784e__43467] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 07:02:21,736: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 07:02:21,737: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 07:02:21,737: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 07:02:21,737: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 07:02:21,752: +SERVICE [/rosout/get_loggers] /rosout http://dc5b429f784e:44513/
[rosmaster.master][INFO] 2019-06-25 07:02:21,753: +SERVICE [/rosout/set_logger_level] /rosout http://dc5b429f784e:44513/
[rosmaster.master][INFO] 2019-06-25 07:02:21,760: +SUB [/clock] /rosout http://dc5b429f784e:44513/
[rosmaster.master][INFO] 2019-06-25 07:02:21,761: +PUB [/rosout_agg] /rosout http://dc5b429f784e:44513/
[rosmaster.master][INFO] 2019-06-25 07:02:21,766: +SUB [/rosout] /rosout http://dc5b429f784e:44513/
[rosmaster.master][INFO] 2019-06-25 07:02:22,423: +PUB [/rosout] /gazebo http://dc5b429f784e:36287/
[rosmaster.master][INFO] 2019-06-25 07:02:22,425: +SERVICE [/gazebo/get_loggers] /gazebo http://dc5b429f784e:36287/
[rosmaster.master][INFO] 2019-06-25 07:02:22,427: +SERVICE [/gazebo/set_logger_level] /gazebo http://dc5b429f784e:36287/
[rosmaster.master][INFO] 2019-06-25 07:02:22,435: +SUB [/clock] /gazebo http://dc5b429f784e:36287/
[rosmaster.master][INFO] 2019-06-25 07:02:22,478: publisherUpdate[/rosout] -> http://dc5b429f784e:44513/ ['http://dc5b429f784e:36287/']
[rosmaster.master][INFO] 2019-06-25 07:02:22,481: publisherUpdate[/rosout] -> http://dc5b429f784e:44513/ ['http://dc5b429f784e:36287/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-06-25 07:02:22,768: +PUB [/clock] /gazebo http://dc5b429f784e:36287/
[rosmaster.master][INFO] 2019-06-25 07:02:22,769: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://dc5b429f784e:36287/
[rosmaster.master][INFO] 2019-06-25 07:02:22,770: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://dc5b429f784e:36287/
[rosmaster.master][INFO] 2019-06-25 07:02:22,771: +SERVICE [/gazebo/delete_model] /gazebo http://dc5b429f784e:36287/
[rosmaster.master][INFO] 2019-06-25 07:02:22,772: +SERVICE [/gazebo/delete_light] /gazebo http://dc5b429f784e:36287/
[rosmaster.master][INFO] 2019-06-25 07:02:22,774: +SERVICE [/gazebo/get_model_properties] /gazebo http://dc5b429f784e:36287/
[rosmaster.master][INFO] 2019-06-25 07:02:22,776: +SERVICE [/gazebo/get_model_state] /gazebo http://dc5b429f784e:36287/
[rosmaster.master][INFO] 2019-06-25 07:02:22,777: +SERVICE [/gazebo/get_world_properties] /gazebo http://dc5b429f784e:36287/
[rosmaster.master][INFO] 2019-06-25 07:02:22,778: +SERVICE [/gazebo/get_joint_properties] /gazebo http://dc5b429f784e:36287/
[rosmaster.master][INFO] 2019-06-25 07:02:22,779: +SERVICE [/gazebo/get_link_properties] /gazebo http://dc5b429f784e:36287/
[rosmaster.master][INFO] 2019-06-25 07:02:22,779: publisherUpdate[/clock] -> http://dc5b429f784e:44513/ ['http://dc5b429f784e:36287/']
[rosmaster.master][INFO] 2019-06-25 07:02:22,780: publisherUpdate[/clock] -> http://dc5b429f784e:44513/ ['http://dc5b429f784e:36287/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-06-25 07:02:22,781: publisherUpdate[/clock] -> http://dc5b429f784e:36287/ ['http://dc5b429f784e:36287/']
[rosmaster.master][INFO] 2019-06-25 07:02:22,782: +SERVICE [/gazebo/get_link_state] /gazebo http://dc5b429f784e:36287/
[rosmaster.master][INFO] 2019-06-25 07:02:22,783: publisherUpdate[/clock] -> http://dc5b429f784e:36287/ ['http://dc5b429f784e:36287/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-06-25 07:02:22,784: +SERVICE [/gazebo/get_light_properties] /gazebo http://dc5b429f784e:36287/
[rosmaster.master][INFO] 2019-06-25 07:02:22,785: +SERVICE [/gazebo/set_light_properties] /gazebo http://dc5b429f784e:36287/
[rosmaster.master][INFO] 2019-06-25 07:02:22,786: +SERVICE [/gazebo/get_physics_properties] /gazebo http://dc5b429f784e:36287/
[rosmaster.master][INFO] 2019-06-25 07:02:22,787: +PUB [/gazebo/link_states] /gazebo http://dc5b429f784e:36287/
[rosmaster.master][INFO] 2019-06-25 07:02:22,788: +PUB [/gazebo/model_states] /gazebo http://dc5b429f784e:36287/
[rosmaster.master][INFO] 2019-06-25 07:02:22,789: +SERVICE [/gazebo/set_link_properties] /gazebo http://dc5b429f784e:36287/
[rosmaster.master][INFO] 2019-06-25 07:02:22,791: +SERVICE [/gazebo/set_physics_properties] /gazebo http://dc5b429f784e:36287/
