[rosmaster.main][INFO] 2019-06-25 15:16:19,245: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-25 15:16:19,245: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-25 15:16:19,246: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-06-25 15:16:19,247: Started XML-RPC server [http://dc5b429f784e:11311/]
[xmlrpc][INFO] 2019-06-25 15:16:19,247: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-25 15:16:19,247: Master initialized: port[11311], uri[http://dc5b429f784e:11311/]
[rosmaster.master][INFO] 2019-06-25 15:16:19,268: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 15:16:19,270: +PARAM [/roslaunch/uris/host_dc5b429f784e__44187] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 15:16:19,675: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 15:16:19,676: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 15:16:19,676: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 15:16:19,691: +SERVICE [/rosout/get_loggers] /rosout http://dc5b429f784e:42391/
[rosmaster.master][INFO] 2019-06-25 15:16:19,692: +SERVICE [/rosout/set_logger_level] /rosout http://dc5b429f784e:42391/
[rosmaster.master][INFO] 2019-06-25 15:16:19,699: +SUB [/clock] /rosout http://dc5b429f784e:42391/
[rosmaster.master][INFO] 2019-06-25 15:16:19,700: +PUB [/rosout_agg] /rosout http://dc5b429f784e:42391/
[rosmaster.master][INFO] 2019-06-25 15:16:19,706: +SUB [/rosout] /rosout http://dc5b429f784e:42391/
[rosmaster.master][INFO] 2019-06-25 15:16:20,488: +PUB [/rosout] /gazebo http://dc5b429f784e:41589/
[rosmaster.master][INFO] 2019-06-25 15:16:20,489: +SERVICE [/gazebo/get_loggers] /gazebo http://dc5b429f784e:41589/
[rosmaster.master][INFO] 2019-06-25 15:16:20,491: +SERVICE [/gazebo/set_logger_level] /gazebo http://dc5b429f784e:41589/
[rosmaster.master][INFO] 2019-06-25 15:16:20,498: +SUB [/clock] /gazebo http://dc5b429f784e:41589/
