[rosmaster.main][INFO] 2019-06-25 21:00:03,829: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-25 21:00:03,829: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-25 21:00:03,830: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-06-25 21:00:03,830: Started XML-RPC server [http://dc5b429f784e:11311/]
[xmlrpc][INFO] 2019-06-25 21:00:03,831: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-25 21:00:03,831: Master initialized: port[11311], uri[http://dc5b429f784e:11311/]
[rosmaster.master][INFO] 2019-06-25 21:00:03,941: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 21:00:03,944: +PARAM [/roslaunch/uris/host_dc5b429f784e__34017] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 21:00:04,343: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 21:00:04,343: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 21:00:04,343: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 21:00:04,343: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 21:00:04,357: +SERVICE [/rosout/get_loggers] /rosout http://dc5b429f784e:46039/
[rosmaster.master][INFO] 2019-06-25 21:00:04,358: +SERVICE [/rosout/set_logger_level] /rosout http://dc5b429f784e:46039/
[rosmaster.master][INFO] 2019-06-25 21:00:04,365: +SUB [/clock] /rosout http://dc5b429f784e:46039/
[rosmaster.master][INFO] 2019-06-25 21:00:04,366: +PUB [/rosout_agg] /rosout http://dc5b429f784e:46039/
[rosmaster.master][INFO] 2019-06-25 21:00:04,371: +SUB [/rosout] /rosout http://dc5b429f784e:46039/
[rosmaster.master][INFO] 2019-06-25 21:00:05,151: +PUB [/rosout] /gazebo http://dc5b429f784e:36061/
[rosmaster.master][INFO] 2019-06-25 21:00:05,153: +SERVICE [/gazebo/get_loggers] /gazebo http://dc5b429f784e:36061/
[rosmaster.master][INFO] 2019-06-25 21:00:05,154: +SERVICE [/gazebo/set_logger_level] /gazebo http://dc5b429f784e:36061/
[rosmaster.master][INFO] 2019-06-25 21:00:05,161: +SUB [/clock] /gazebo http://dc5b429f784e:36061/
[rosmaster.master][INFO] 2019-06-25 21:00:05,232: publisherUpdate[/rosout] -> http://dc5b429f784e:46039/ ['http://dc5b429f784e:36061/']
[rosmaster.master][INFO] 2019-06-25 21:00:05,234: publisherUpdate[/rosout] -> http://dc5b429f784e:46039/ ['http://dc5b429f784e:36061/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-06-25 21:00:05,534: +PUB [/clock] /gazebo http://dc5b429f784e:36061/
[rosmaster.master][INFO] 2019-06-25 21:00:05,535: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://dc5b429f784e:36061/
[rosmaster.master][INFO] 2019-06-25 21:00:05,536: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://dc5b429f784e:36061/
[rosmaster.master][INFO] 2019-06-25 21:00:05,537: publisherUpdate[/clock] -> http://dc5b429f784e:46039/ ['http://dc5b429f784e:36061/']
[rosmaster.master][INFO] 2019-06-25 21:00:05,537: +SERVICE [/gazebo/delete_model] /gazebo http://dc5b429f784e:36061/
[rosmaster.master][INFO] 2019-06-25 21:00:05,537: publisherUpdate[/clock] -> http://dc5b429f784e:36061/ ['http://dc5b429f784e:36061/']
[rosmaster.master][INFO] 2019-06-25 21:00:05,538: publisherUpdate[/clock] -> http://dc5b429f784e:46039/ ['http://dc5b429f784e:36061/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-06-25 21:00:05,540: +SERVICE [/gazebo/delete_light] /gazebo http://dc5b429f784e:36061/
[rosmaster.master][INFO] 2019-06-25 21:00:05,541: publisherUpdate[/clock] -> http://dc5b429f784e:36061/ ['http://dc5b429f784e:36061/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-06-25 21:00:05,542: +SERVICE [/gazebo/get_model_properties] /gazebo http://dc5b429f784e:36061/
[rosmaster.master][INFO] 2019-06-25 21:00:05,544: +SERVICE [/gazebo/get_model_state] /gazebo http://dc5b429f784e:36061/
[rosmaster.master][INFO] 2019-06-25 21:00:05,544: +SERVICE [/gazebo/get_world_properties] /gazebo http://dc5b429f784e:36061/
[rosmaster.master][INFO] 2019-06-25 21:00:05,545: +SERVICE [/gazebo/get_joint_properties] /gazebo http://dc5b429f784e:36061/
[rosmaster.master][INFO] 2019-06-25 21:00:05,546: +SERVICE [/gazebo/get_link_properties] /gazebo http://dc5b429f784e:36061/
[rosmaster.master][INFO] 2019-06-25 21:00:05,547: +SERVICE [/gazebo/get_link_state] /gazebo http://dc5b429f784e:36061/
[rosmaster.master][INFO] 2019-06-25 21:00:05,549: +SERVICE [/gazebo/get_light_properties] /gazebo http://dc5b429f784e:36061/
[rosmaster.master][INFO] 2019-06-25 21:00:05,550: +SERVICE [/gazebo/set_light_properties] /gazebo http://dc5b429f784e:36061/
[rosmaster.master][INFO] 2019-06-25 21:00:05,551: +SERVICE [/gazebo/get_physics_properties] /gazebo http://dc5b429f784e:36061/
[rosmaster.master][INFO] 2019-06-25 21:00:05,552: +PUB [/gazebo/link_states] /gazebo http://dc5b429f784e:36061/
[rosmaster.master][INFO] 2019-06-25 21:00:05,554: +PUB [/gazebo/model_states] /gazebo http://dc5b429f784e:36061/
[rosmaster.master][INFO] 2019-06-25 21:00:05,555: +SERVICE [/gazebo/set_link_properties] /gazebo http://dc5b429f784e:36061/
[rosmaster.master][INFO] 2019-06-25 21:00:05,556: +SERVICE [/gazebo/set_physics_properties] /gazebo http://dc5b429f784e:36061/
[rosmaster.master][INFO] 2019-06-25 21:00:05,558: +SERVICE [/gazebo/set_model_state] /gazebo http://dc5b429f784e:36061/
[rosmaster.master][INFO] 2019-06-25 21:00:05,559: +SERVICE [/gazebo/set_model_configuration] /gazebo http://dc5b429f784e:36061/
[rosmaster.master][INFO] 2019-06-25 21:00:05,560: +SERVICE [/gazebo/set_joint_properties] /gazebo http://dc5b429f784e:36061/
[rosmaster.master][INFO] 2019-06-25 21:00:05,561: +SERVICE [/gazebo/set_link_state] /gazebo http://dc5b429f784e:36061/
[rosmaster.master][INFO] 2019-06-25 21:00:05,567: +SUB [/gazebo/set_link_state] /gazebo http://dc5b429f784e:36061/
[rosmaster.master][INFO] 2019-06-25 21:00:05,573: +SUB [/gazebo/set_model_state] /gazebo http://dc5b429f784e:36061/
[rosmaster.master][INFO] 2019-06-25 21:00:05,575: +SERVICE [/gazebo/pause_physics] /gazebo http://dc5b429f784e:36061/
[rosmaster.master][INFO] 2019-06-25 21:00:05,576: +SERVICE [/gazebo/unpause_physics] /gazebo http://dc5b429f784e:36061/
[rosmaster.master][INFO] 2019-06-25 21:00:05,577: +SERVICE [/gazebo/apply_body_wrench] /gazebo http://dc5b429f784e:36061/
[rosmaster.master][INFO] 2019-06-25 21:00:05,578: +SERVICE [/gazebo/apply_joint_effort] /gazebo http://dc5b429f784e:36061/
[rosmaster.master][INFO] 2019-06-25 21:00:05,580: +SERVICE [/gazebo/clear_joint_forces] /gazebo http://dc5b429f784e:36061/
[rosmaster.master][INFO] 2019-06-25 21:00:05,581: +SERVICE [/gazebo/clear_body_wrenches] /gazebo http://dc5b429f784e:36061/
[rosmaster.master][INFO] 2019-06-25 21:00:05,582: +SERVICE [/gazebo/reset_simulation] /gazebo http://dc5b429f784e:36061/
[rosmaster.master][INFO] 2019-06-25 21:00:05,584: +SERVICE [/gazebo/reset_world] /gazebo http://dc5b429f784e:36061/
[rosmaster.master][INFO] 2019-06-25 21:00:05,639: +SERVICE [/gazebo/set_parameters] /gazebo http://dc5b429f784e:36061/
[rosmaster.master][INFO] 2019-06-25 21:00:05,639: +PUB [/gazebo/parameter_descriptions] /gazebo http://dc5b429f784e:36061/
