[rosmaster.main][INFO] 2020-07-02 13:38:11,834: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-07-02 13:38:11,834: Starting ROS Master Node
[xmlrpc][INFO] 2020-07-02 13:38:11,835: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-07-02 13:38:11,835: Started XML-RPC server [http://177b797fd17c:11311/]
[rosmaster.master][INFO] 2020-07-02 13:38:11,836: Master initialized: port[11311], uri[http://177b797fd17c:11311/]
[xmlrpc][INFO] 2020-07-02 13:38:11,836: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-07-02 13:38:11,931: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:38:11,933: +PARAM [/roslaunch/uris/host_177b797fd17c__46471] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:38:12,495: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:38:12,496: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:38:12,497: +PARAM [/robot2/robot_description] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:38:12,497: +PARAM [/robot2/tf_prefix] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:38:12,497: +PARAM [/robot1/tf_prefix] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:38:12,497: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:38:12,497: +PARAM [/robot1/robot_description] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:38:12,498: +SERVICE [/rosout/get_loggers] /rosout http://177b797fd17c:42885/
[rosmaster.master][INFO] 2020-07-02 13:38:12,499: +SERVICE [/rosout/set_logger_level] /rosout http://177b797fd17c:42885/
[rosmaster.master][INFO] 2020-07-02 13:38:12,506: +SUB [/clock] /rosout http://177b797fd17c:42885/
[rosmaster.master][INFO] 2020-07-02 13:38:12,508: +PUB [/rosout_agg] /rosout http://177b797fd17c:42885/
[rosmaster.master][INFO] 2020-07-02 13:38:12,512: +SUB [/rosout] /rosout http://177b797fd17c:42885/
[rosmaster.master][INFO] 2020-07-02 13:38:13,243: +PUB [/rosout] /gazebo http://177b797fd17c:45507/
[rosmaster.master][INFO] 2020-07-02 13:38:13,245: +SERVICE [/gazebo/get_loggers] /gazebo http://177b797fd17c:45507/
[rosmaster.master][INFO] 2020-07-02 13:38:13,246: +SERVICE [/gazebo/set_logger_level] /gazebo http://177b797fd17c:45507/
[rosmaster.master][INFO] 2020-07-02 13:38:13,252: +SUB [/clock] /gazebo http://177b797fd17c:45507/
[rosmaster.master][INFO] 2020-07-02 13:38:13,338: publisherUpdate[/rosout] -> http://177b797fd17c:42885/ ['http://177b797fd17c:45507/']
[rosmaster.master][INFO] 2020-07-02 13:38:13,339: publisherUpdate[/rosout] -> http://177b797fd17c:42885/ ['http://177b797fd17c:45507/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-07-02 13:38:13,553: +PUB [/clock] /gazebo http://177b797fd17c:45507/
[rosmaster.master][INFO] 2020-07-02 13:38:13,555: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://177b797fd17c:45507/
[rosmaster.master][INFO] 2020-07-02 13:38:13,556: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://177b797fd17c:45507/
[rosmaster.master][INFO] 2020-07-02 13:38:13,557: +SERVICE [/gazebo/delete_model] /gazebo http://177b797fd17c:45507/
[rosmaster.master][INFO] 2020-07-02 13:38:13,558: +SERVICE [/gazebo/delete_light] /gazebo http://177b797fd17c:45507/
[rosmaster.master][INFO] 2020-07-02 13:38:13,558: +SERVICE [/gazebo/get_model_properties] /gazebo http://177b797fd17c:45507/
[rosmaster.master][INFO] 2020-07-02 13:38:13,559: +SERVICE [/gazebo/get_model_state] /gazebo http://177b797fd17c:45507/
[rosmaster.master][INFO] 2020-07-02 13:38:13,560: +SERVICE [/gazebo/get_world_properties] /gazebo http://177b797fd17c:45507/
[rosmaster.master][INFO] 2020-07-02 13:38:13,561: +SERVICE [/gazebo/get_joint_properties] /gazebo http://177b797fd17c:45507/
[rosmaster.master][INFO] 2020-07-02 13:38:13,562: +SERVICE [/gazebo/get_link_properties] /gazebo http://177b797fd17c:45507/
[rosmaster.master][INFO] 2020-07-02 13:38:13,563: +SERVICE [/gazebo/get_link_state] /gazebo http://177b797fd17c:45507/
[rosmaster.master][INFO] 2020-07-02 13:38:13,564: +SERVICE [/gazebo/get_light_properties] /gazebo http://177b797fd17c:45507/
[rosmaster.master][INFO] 2020-07-02 13:38:13,565: +SERVICE [/gazebo/set_light_properties] /gazebo http://177b797fd17c:45507/
[rosmaster.master][INFO] 2020-07-02 13:38:13,566: +SERVICE [/gazebo/get_physics_properties] /gazebo http://177b797fd17c:45507/
[rosmaster.master][INFO] 2020-07-02 13:38:13,567: +PUB [/gazebo/link_states] /gazebo http://177b797fd17c:45507/
[rosmaster.master][INFO] 2020-07-02 13:38:13,568: +PUB [/gazebo/model_states] /gazebo http://177b797fd17c:45507/
[rosmaster.master][INFO] 2020-07-02 13:38:13,569: +SERVICE [/gazebo/set_link_properties] /gazebo http://177b797fd17c:45507/
[rosmaster.master][INFO] 2020-07-02 13:38:13,570: +SERVICE [/gazebo/set_physics_properties] /gazebo http://177b797fd17c:45507/
[rosmaster.master][INFO] 2020-07-02 13:38:13,573: +SERVICE [/gazebo/set_model_state] /gazebo http://177b797fd17c:45507/
[rosmaster.master][INFO] 2020-07-02 13:38:13,574: +SERVICE [/gazebo/set_model_configuration] /gazebo http://177b797fd17c:45507/
[rosmaster.master][INFO] 2020-07-02 13:38:13,575: +SERVICE [/gazebo/set_joint_properties] /gazebo http://177b797fd17c:45507/
[rosmaster.master][INFO] 2020-07-02 13:38:13,576: +SERVICE [/gazebo/set_link_state] /gazebo http://177b797fd17c:45507/
[rosmaster.master][INFO] 2020-07-02 13:38:13,580: +SUB [/gazebo/set_link_state] /gazebo http://177b797fd17c:45507/
[rosmaster.master][INFO] 2020-07-02 13:38:13,584: +SUB [/gazebo/set_model_state] /gazebo http://177b797fd17c:45507/
[rosmaster.master][INFO] 2020-07-02 13:38:13,585: +SERVICE [/gazebo/pause_physics] /gazebo http://177b797fd17c:45507/
[rosmaster.master][INFO] 2020-07-02 13:38:13,586: +SERVICE [/gazebo/unpause_physics] /gazebo http://177b797fd17c:45507/
[rosmaster.master][INFO] 2020-07-02 13:38:13,587: +SERVICE [/gazebo/apply_body_wrench] /gazebo http://177b797fd17c:45507/
[rosmaster.master][INFO] 2020-07-02 13:38:13,588: +SERVICE [/gazebo/apply_joint_effort] /gazebo http://177b797fd17c:45507/
[rosmaster.master][INFO] 2020-07-02 13:38:13,589: +SERVICE [/gazebo/clear_joint_forces] /gazebo http://177b797fd17c:45507/
[rosmaster.master][INFO] 2020-07-02 13:38:13,589: +SERVICE [/gazebo/clear_body_wrenches] /gazebo http://177b797fd17c:45507/
[rosmaster.master][INFO] 2020-07-02 13:38:13,590: +SERVICE [/gazebo/reset_simulation] /gazebo http://177b797fd17c:45507/
[rosmaster.master][INFO] 2020-07-02 13:38:13,591: +SERVICE [/gazebo/reset_world] /gazebo http://177b797fd17c:45507/
[rosmaster.master][INFO] 2020-07-02 13:38:13,627: +SERVICE [/gazebo/set_parameters] /gazebo http://177b797fd17c:45507/
[rosmaster.master][INFO] 2020-07-02 13:38:13,633: +PUB [/gazebo/parameter_descriptions] /gazebo http://177b797fd17c:45507/
[rosmaster.master][INFO] 2020-07-02 13:38:13,635: +PUB [/gazebo/parameter_updates] /gazebo http://177b797fd17c:45507/
[rosmaster.master][INFO] 2020-07-02 13:38:13,639: publisherUpdate[/clock] -> http://177b797fd17c:42885/ ['http://177b797fd17c:45507/']
[rosmaster.master][INFO] 2020-07-02 13:38:13,640: publisherUpdate[/clock] -> http://177b797fd17c:45507/ ['http://177b797fd17c:45507/']
[rosmaster.master][INFO] 2020-07-02 13:38:13,641: publisherUpdate[/clock] -> http://177b797fd17c:42885/ ['http://177b797fd17c:45507/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-07-02 13:38:13,641: publisherUpdate[/clock] -> http://177b797fd17c:45507/ ['http://177b797fd17c:45507/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-07-02 13:38:13,653: +PARAM [/gazebo/time_step] by /gazebo
[rosmaster.master][INFO] 2020-07-02 13:38:13,657: +PARAM [/gazebo/max_update_rate] by /gazebo
[rosmaster.master][INFO] 2020-07-02 13:38:13,658: +PARAM [/gazebo/gravity_x] by /gazebo
[rosmaster.master][INFO] 2020-07-02 13:38:13,659: +PARAM [/gazebo/gravity_y] by /gazebo
[rosmaster.master][INFO] 2020-07-02 13:38:13,660: +PARAM [/gazebo/gravity_z] by /gazebo
[rosmaster.master][INFO] 2020-07-02 13:38:13,661: +PARAM [/gazebo/auto_disable_bodies] by /gazebo
[rosmaster.master][INFO] 2020-07-02 13:38:13,662: +PARAM [/gazebo/sor_pgs_precon_iters] by /gazebo
[rosmaster.master][INFO] 2020-07-02 13:38:13,663: +PARAM [/gazebo/sor_pgs_iters] by /gazebo
[rosmaster.master][INFO] 2020-07-02 13:38:13,664: +PARAM [/gazebo/sor_pgs_w] by /gazebo
