[rosmaster.main][INFO] 2019-06-14 09:10:45,208: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-14 09:10:45,208: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-14 09:10:45,209: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-06-14 09:10:45,209: Started XML-RPC server [http://dc5b429f784e:11311/]
[xmlrpc][INFO] 2019-06-14 09:10:45,209: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-14 09:10:45,209: Master initialized: port[11311], uri[http://dc5b429f784e:11311/]
[rosmaster.master][INFO] 2019-06-14 09:10:45,235: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-14 09:10:45,238: +PARAM [/roslaunch/uris/host_dc5b429f784e__41389] by /roslaunch
[rosmaster.master][INFO] 2019-06-14 09:10:45,630: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-06-14 09:10:45,630: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-06-14 09:10:45,646: +SERVICE [/rosout/get_loggers] /rosout http://dc5b429f784e:39095/
[rosmaster.master][INFO] 2019-06-14 09:10:45,647: +SERVICE [/rosout/set_logger_level] /rosout http://dc5b429f784e:39095/
[rosmaster.master][INFO] 2019-06-14 09:10:45,656: +PUB [/rosout_agg] /rosout http://dc5b429f784e:39095/
[rosmaster.master][INFO] 2019-06-14 09:10:45,667: +SUB [/rosout] /rosout http://dc5b429f784e:39095/
[rosmaster.master][INFO] 2019-06-14 09:16:26,456: +PARAM [/roslaunch/uris/host_dc5b429f784e__42055] by /roslaunch
[rosmaster.master][INFO] 2019-06-14 09:16:26,460: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-06-14 09:16:26,460: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2019-06-14 09:16:26,460: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-06-14 09:16:26,460: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2019-06-14 09:16:27,292: +PUB [/rosout] /gazebo http://dc5b429f784e:34487/
[rosmaster.master][INFO] 2019-06-14 09:16:27,293: +SERVICE [/gazebo/get_loggers] /gazebo http://dc5b429f784e:34487/
[rosmaster.master][INFO] 2019-06-14 09:16:27,295: +SERVICE [/gazebo/set_logger_level] /gazebo http://dc5b429f784e:34487/
[rosmaster.master][INFO] 2019-06-14 09:16:27,301: +SUB [/clock] /gazebo http://dc5b429f784e:34487/
[rosmaster.master][INFO] 2019-06-14 09:16:27,339: publisherUpdate[/rosout] -> http://dc5b429f784e:39095/ ['http://dc5b429f784e:34487/']
[rosmaster.master][INFO] 2019-06-14 09:16:27,341: publisherUpdate[/rosout] -> http://dc5b429f784e:39095/ ['http://dc5b429f784e:34487/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-06-14 09:16:27,580: +PUB [/clock] /gazebo http://dc5b429f784e:34487/
[rosmaster.master][INFO] 2019-06-14 09:16:27,581: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://dc5b429f784e:34487/
[rosmaster.master][INFO] 2019-06-14 09:16:27,582: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://dc5b429f784e:34487/
[rosmaster.master][INFO] 2019-06-14 09:16:27,583: +SERVICE [/gazebo/delete_model] /gazebo http://dc5b429f784e:34487/
[rosmaster.master][INFO] 2019-06-14 09:16:27,584: +SERVICE [/gazebo/delete_light] /gazebo http://dc5b429f784e:34487/
[rosmaster.master][INFO] 2019-06-14 09:16:27,585: +SERVICE [/gazebo/get_model_properties] /gazebo http://dc5b429f784e:34487/
[rosmaster.master][INFO] 2019-06-14 09:16:27,586: +SERVICE [/gazebo/get_model_state] /gazebo http://dc5b429f784e:34487/
[rosmaster.master][INFO] 2019-06-14 09:16:27,587: +SERVICE [/gazebo/get_world_properties] /gazebo http://dc5b429f784e:34487/
[rosmaster.master][INFO] 2019-06-14 09:16:27,588: +SERVICE [/gazebo/get_joint_properties] /gazebo http://dc5b429f784e:34487/
[rosmaster.master][INFO] 2019-06-14 09:16:27,589: +SERVICE [/gazebo/get_link_properties] /gazebo http://dc5b429f784e:34487/
[rosmaster.master][INFO] 2019-06-14 09:16:27,590: +SERVICE [/gazebo/get_link_state] /gazebo http://dc5b429f784e:34487/
[rosmaster.master][INFO] 2019-06-14 09:16:27,591: +SERVICE [/gazebo/get_light_properties] /gazebo http://dc5b429f784e:34487/
[rosmaster.master][INFO] 2019-06-14 09:16:27,592: +SERVICE [/gazebo/set_light_properties] /gazebo http://dc5b429f784e:34487/
