[rosmaster.main][INFO] 2019-06-25 21:58:06,481: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-25 21:58:06,481: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-25 21:58:06,482: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-06-25 21:58:06,482: Started XML-RPC server [http://dc5b429f784e:11311/]
[rosmaster.master][INFO] 2019-06-25 21:58:06,483: Master initialized: port[11311], uri[http://dc5b429f784e:11311/]
[xmlrpc][INFO] 2019-06-25 21:58:06,483: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-25 21:58:06,562: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 21:58:06,566: +PARAM [/roslaunch/uris/host_dc5b429f784e__39739] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 21:58:06,992: +PARAM [/move_base/local_costmap/inflation_layer/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 21:58:06,992: +PARAM [/move_base/global_costmap/inflation_layer/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 21:58:06,992: +PARAM [/move_base/local_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 21:58:06,992: +PARAM [/move_base/global_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 21:58:06,992: +PARAM [/move_base/local_costmap/inflation_layer/enabled] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 21:58:06,992: +PARAM [/move_base/global_costmap/robot_radius] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 21:58:06,992: +PARAM [/move_base/global_costmap/origin_x] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 21:58:06,992: +PARAM [/move_base/TrajectoryPlannerROS/min_vel_x] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 21:58:06,992: +PARAM [/move_base/local_costmap/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 21:58:06,993: +PARAM [/move_base/global_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 21:58:06,993: +PARAM [/move_base/TrajectoryPlannerROS/y_vels] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 21:58:06,993: +PARAM [/move_base/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 21:58:06,993: +PARAM [/move_base/global_costmap/laser_scan_sensor/marking] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 21:58:06,993: +PARAM [/move_base/TrajectoryPlannerROS/acc_lim_y] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 21:58:06,993: +PARAM [/move_base/TrajectoryPlannerROS/acc_lim_x] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 21:58:06,993: +PARAM [/move_base/global_costmap/inflation_layer/enabled] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 21:58:06,993: +PARAM [/move_base/local_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 21:58:06,993: +PARAM [/move_base/local_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 21:58:06,993: +PARAM [/move_base/global_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 21:58:06,994: +PARAM [/move_base/local_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 21:58:06,994: +PARAM [/move_base/global_costmap/inflation_layer/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 21:58:06,994: +PARAM [/move_base/global_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 21:58:06,994: +PARAM [/move_base/local_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 21:58:06,994: +PARAM [/move_base/global_costmap/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 21:58:06,994: +PARAM [/move_base/local_costmap/laser_scan_sensor/clearing] by /roslaunch
