[rosmaster.main][INFO] 2019-06-14 14:11:41,001: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-14 14:11:41,001: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-14 14:11:41,002: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-06-14 14:11:41,002: Started XML-RPC server [http://dc5b429f784e:11311/]
[xmlrpc][INFO] 2019-06-14 14:11:41,002: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-14 14:11:41,002: Master initialized: port[11311], uri[http://dc5b429f784e:11311/]
[rosmaster.master][INFO] 2019-06-14 14:11:41,047: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-14 14:11:41,050: +PARAM [/roslaunch/uris/host_dc5b429f784e__43343] by /roslaunch
[rosmaster.master][INFO] 2019-06-14 14:11:41,420: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-06-14 14:11:41,420: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2019-06-14 14:11:41,420: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-06-14 14:11:41,420: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2019-06-14 14:11:41,434: +SERVICE [/rosout/get_loggers] /rosout http://dc5b429f784e:41407/
[rosmaster.master][INFO] 2019-06-14 14:11:41,435: +SERVICE [/rosout/set_logger_level] /rosout http://dc5b429f784e:41407/
[rosmaster.master][INFO] 2019-06-14 14:11:41,442: +SUB [/clock] /rosout http://dc5b429f784e:41407/
[rosmaster.master][INFO] 2019-06-14 14:11:41,443: +PUB [/rosout_agg] /rosout http://dc5b429f784e:41407/
[rosmaster.master][INFO] 2019-06-14 14:11:41,447: +SUB [/rosout] /rosout http://dc5b429f784e:41407/
[rosmaster.master][INFO] 2019-06-14 14:11:42,149: +PUB [/rosout] /gazebo http://dc5b429f784e:36711/
[rosmaster.master][INFO] 2019-06-14 14:11:42,150: +SERVICE [/gazebo/get_loggers] /gazebo http://dc5b429f784e:36711/
[rosmaster.master][INFO] 2019-06-14 14:11:42,152: +SERVICE [/gazebo/set_logger_level] /gazebo http://dc5b429f784e:36711/
[rosmaster.master][INFO] 2019-06-14 14:11:42,160: +SUB [/clock] /gazebo http://dc5b429f784e:36711/
[rosmaster.master][INFO] 2019-06-14 14:11:42,204: publisherUpdate[/rosout] -> http://dc5b429f784e:41407/ ['http://dc5b429f784e:36711/']
[rosmaster.master][INFO] 2019-06-14 14:11:42,206: publisherUpdate[/rosout] -> http://dc5b429f784e:41407/ ['http://dc5b429f784e:36711/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-06-14 14:11:42,470: +PUB [/clock] /gazebo http://dc5b429f784e:36711/
[rosmaster.master][INFO] 2019-06-14 14:11:42,472: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://dc5b429f784e:36711/
[rosmaster.master][INFO] 2019-06-14 14:11:42,473: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://dc5b429f784e:36711/
[rosmaster.master][INFO] 2019-06-14 14:11:42,474: +SERVICE [/gazebo/delete_model] /gazebo http://dc5b429f784e:36711/
[rosmaster.master][INFO] 2019-06-14 14:11:42,475: +SERVICE [/gazebo/delete_light] /gazebo http://dc5b429f784e:36711/
[rosmaster.master][INFO] 2019-06-14 14:11:42,476: +SERVICE [/gazebo/get_model_properties] /gazebo http://dc5b429f784e:36711/
[rosmaster.master][INFO] 2019-06-14 14:11:42,478: +SERVICE [/gazebo/get_model_state] /gazebo http://dc5b429f784e:36711/
[rosmaster.master][INFO] 2019-06-14 14:11:42,479: +SERVICE [/gazebo/get_world_properties] /gazebo http://dc5b429f784e:36711/
[rosmaster.master][INFO] 2019-06-14 14:11:42,480: +SERVICE [/gazebo/get_joint_properties] /gazebo http://dc5b429f784e:36711/
[rosmaster.master][INFO] 2019-06-14 14:11:42,481: +SERVICE [/gazebo/get_link_properties] /gazebo http://dc5b429f784e:36711/
[rosmaster.master][INFO] 2019-06-14 14:11:42,482: +SERVICE [/gazebo/get_link_state] /gazebo http://dc5b429f784e:36711/
[rosmaster.master][INFO] 2019-06-14 14:11:42,483: +SERVICE [/gazebo/get_light_properties] /gazebo http://dc5b429f784e:36711/
[rosmaster.master][INFO] 2019-06-14 14:11:42,484: +SERVICE [/gazebo/set_light_properties] /gazebo http://dc5b429f784e:36711/
[rosmaster.master][INFO] 2019-06-14 14:11:42,485: +SERVICE [/gazebo/get_physics_properties] /gazebo http://dc5b429f784e:36711/
[rosmaster.master][INFO] 2019-06-14 14:11:42,486: +PUB [/gazebo/link_states] /gazebo http://dc5b429f784e:36711/
[rosmaster.master][INFO] 2019-06-14 14:11:42,487: +PUB [/gazebo/model_states] /gazebo http://dc5b429f784e:36711/
[rosmaster.master][INFO] 2019-06-14 14:11:42,488: +SERVICE [/gazebo/set_link_properties] /gazebo http://dc5b429f784e:36711/
[rosmaster.master][INFO] 2019-06-14 14:11:42,489: +SERVICE [/gazebo/set_physics_properties] /gazebo http://dc5b429f784e:36711/
[rosmaster.master][INFO] 2019-06-14 14:11:42,490: +SERVICE [/gazebo/set_model_state] /gazebo http://dc5b429f784e:36711/
[rosmaster.master][INFO] 2019-06-14 14:11:42,491: +SERVICE [/gazebo/set_model_configuration] /gazebo http://dc5b429f784e:36711/
[rosmaster.master][INFO] 2019-06-14 14:11:42,493: +SERVICE [/gazebo/set_joint_properties] /gazebo http://dc5b429f784e:36711/
[rosmaster.master][INFO] 2019-06-14 14:11:42,493: +SERVICE [/gazebo/set_link_state] /gazebo http://dc5b429f784e:36711/
[rosmaster.master][INFO] 2019-06-14 14:11:42,498: +SUB [/gazebo/set_link_state] /gazebo http://dc5b429f784e:36711/
[rosmaster.master][INFO] 2019-06-14 14:11:42,503: +SUB [/gazebo/set_model_state] /gazebo http://dc5b429f784e:36711/
[rosmaster.master][INFO] 2019-06-14 14:11:42,504: +SERVICE [/gazebo/pause_physics] /gazebo http://dc5b429f784e:36711/
[rosmaster.master][INFO] 2019-06-14 14:11:42,505: publisherUpdate[/clock] -> http://dc5b429f784e:41407/ ['http://dc5b429f784e:36711/']
[rosmaster.master][INFO] 2019-06-14 14:11:42,505: +SERVICE [/gazebo/unpause_physics] /gazebo http://dc5b429f784e:36711/
