[rosmaster.main][INFO] 2020-07-02 13:32:32,217: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-07-02 13:32:32,217: Starting ROS Master Node
[xmlrpc][INFO] 2020-07-02 13:32:32,218: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-07-02 13:32:32,218: Started XML-RPC server [http://177b797fd17c:11311/]
[xmlrpc][INFO] 2020-07-02 13:32:32,218: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-07-02 13:32:32,219: Master initialized: port[11311], uri[http://177b797fd17c:11311/]
[rosmaster.master][INFO] 2020-07-02 13:32:32,310: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:32:32,311: +PARAM [/roslaunch/uris/host_177b797fd17c__36789] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:32:32,865: +SERVICE [/rosout/get_loggers] /rosout http://177b797fd17c:45805/
[rosmaster.master][INFO] 2020-07-02 13:32:32,889: +SERVICE [/rosout/set_logger_level] /rosout http://177b797fd17c:45805/
[rosmaster.master][INFO] 2020-07-02 13:32:32,896: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:32:32,897: +PUB [/rosout_agg] /rosout http://177b797fd17c:45805/
[rosmaster.master][INFO] 2020-07-02 13:32:32,897: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:32:32,898: +PARAM [/robot2/robot_description] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:32:32,898: +PARAM [/robot1/tf_prefix] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:32:32,899: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:32:32,899: +PARAM [/robot1/robot_description] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:32:32,905: +SUB [/rosout] /rosout http://177b797fd17c:45805/
[rosmaster.master][INFO] 2020-07-02 13:32:33,720: +PUB [/rosout] /gazebo http://177b797fd17c:38781/
[rosmaster.master][INFO] 2020-07-02 13:32:33,721: publisherUpdate[/rosout] -> http://177b797fd17c:45805/ ['http://177b797fd17c:38781/']
