[rosmaster.main][INFO] 2020-07-02 13:18:20,744: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-07-02 13:18:20,744: Starting ROS Master Node
[xmlrpc][INFO] 2020-07-02 13:18:20,745: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-07-02 13:18:20,745: Started XML-RPC server [http://177b797fd17c:11311/]
[xmlrpc][INFO] 2020-07-02 13:18:20,746: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-07-02 13:18:20,746: Master initialized: port[11311], uri[http://177b797fd17c:11311/]
[rosmaster.master][INFO] 2020-07-02 13:18:20,844: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:18:20,846: +PARAM [/roslaunch/uris/host_177b797fd17c__37701] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:18:21,397: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:18:21,399: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:18:21,399: +PARAM [/robot2/robot_description] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:18:21,400: +PARAM [/robot1/tf_prefix] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:18:21,400: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:18:21,400: +PARAM [/robot1/robot_description] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:18:21,401: +SERVICE [/rosout/get_loggers] /rosout http://177b797fd17c:37689/
[rosmaster.master][INFO] 2020-07-02 13:18:21,402: +SERVICE [/rosout/set_logger_level] /rosout http://177b797fd17c:37689/
[rosmaster.master][INFO] 2020-07-02 13:18:21,408: +SUB [/clock] /rosout http://177b797fd17c:37689/
[rosmaster.master][INFO] 2020-07-02 13:18:21,410: +PUB [/rosout_agg] /rosout http://177b797fd17c:37689/
[rosmaster.master][INFO] 2020-07-02 13:18:21,415: +SUB [/rosout] /rosout http://177b797fd17c:37689/
