[rosmaster.main][INFO] 2019-06-13 08:30:37,551: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-13 08:30:37,551: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-13 08:30:37,552: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-06-13 08:30:37,552: Started XML-RPC server [http://dc5b429f784e:11311/]
[xmlrpc][INFO] 2019-06-13 08:30:37,552: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-13 08:30:37,552: Master initialized: port[11311], uri[http://dc5b429f784e:11311/]
[rosmaster.master][INFO] 2019-06-13 08:30:37,577: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-13 08:30:37,578: +PARAM [/roslaunch/uris/host_dc5b429f784e__33743] by /roslaunch
[rosmaster.master][INFO] 2019-06-13 08:30:37,904: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-06-13 08:30:37,905: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2019-06-13 08:30:37,905: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-06-13 08:30:37,905: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2019-06-13 08:30:37,949: +SERVICE [/rosout/get_loggers] /rosout http://dc5b429f784e:38387/
[rosmaster.master][INFO] 2019-06-13 08:30:37,950: +SERVICE [/rosout/set_logger_level] /rosout http://dc5b429f784e:38387/
[rosmaster.master][INFO] 2019-06-13 08:30:37,958: +SUB [/clock] /rosout http://dc5b429f784e:38387/
[rosmaster.master][INFO] 2019-06-13 08:30:37,959: +PUB [/rosout_agg] /rosout http://dc5b429f784e:38387/
[rosmaster.master][INFO] 2019-06-13 08:30:37,965: +SUB [/rosout] /rosout http://dc5b429f784e:38387/
[rosmaster.master][INFO] 2019-06-13 08:30:38,868: +PUB [/rosout] /gazebo http://dc5b429f784e:36331/
[rosmaster.master][INFO] 2019-06-13 08:30:38,869: +SERVICE [/gazebo/get_loggers] /gazebo http://dc5b429f784e:36331/
[rosmaster.master][INFO] 2019-06-13 08:30:38,870: +SERVICE [/gazebo/set_logger_level] /gazebo http://dc5b429f784e:36331/
[rosmaster.master][INFO] 2019-06-13 08:30:38,876: +SUB [/clock] /gazebo http://dc5b429f784e:36331/
[rosmaster.master][INFO] 2019-06-13 08:30:38,954: publisherUpdate[/rosout] -> http://dc5b429f784e:38387/ ['http://dc5b429f784e:36331/']
[rosmaster.master][INFO] 2019-06-13 08:30:38,957: publisherUpdate[/rosout] -> http://dc5b429f784e:38387/ ['http://dc5b429f784e:36331/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-06-13 08:30:39,276: +PUB [/clock] /gazebo http://dc5b429f784e:36331/
[rosmaster.master][INFO] 2019-06-13 08:30:39,278: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://dc5b429f784e:36331/
[rosmaster.master][INFO] 2019-06-13 08:30:39,279: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://dc5b429f784e:36331/
[rosmaster.master][INFO] 2019-06-13 08:30:39,280: +SERVICE [/gazebo/delete_model] /gazebo http://dc5b429f784e:36331/
