[rosmaster.main][INFO] 2019-06-13 09:56:41,068: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-13 09:56:41,068: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-13 09:56:41,069: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-06-13 09:56:41,069: Started XML-RPC server [http://dc5b429f784e:11311/]
[xmlrpc][INFO] 2019-06-13 09:56:41,069: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-13 09:56:41,069: Master initialized: port[11311], uri[http://dc5b429f784e:11311/]
[rosmaster.master][INFO] 2019-06-13 09:56:41,127: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-13 09:56:41,129: +PARAM [/roslaunch/uris/host_dc5b429f784e__36395] by /roslaunch
[rosmaster.master][INFO] 2019-06-13 09:56:41,459: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-06-13 09:56:41,459: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2019-06-13 09:56:41,459: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-06-13 09:56:41,473: +SERVICE [/rosout/get_loggers] /rosout http://dc5b429f784e:45437/
[rosmaster.master][INFO] 2019-06-13 09:56:41,474: +SERVICE [/rosout/set_logger_level] /rosout http://dc5b429f784e:45437/
[rosmaster.master][INFO] 2019-06-13 09:56:41,481: +SUB [/clock] /rosout http://dc5b429f784e:45437/
[rosmaster.master][INFO] 2019-06-13 09:56:41,482: +PUB [/rosout_agg] /rosout http://dc5b429f784e:45437/
[rosmaster.master][INFO] 2019-06-13 09:56:41,489: +SUB [/rosout] /rosout http://dc5b429f784e:45437/
[rosmaster.master][INFO] 2019-06-13 09:56:42,242: +PUB [/rosout] /gazebo http://dc5b429f784e:37367/
[rosmaster.master][INFO] 2019-06-13 09:56:42,243: +SERVICE [/gazebo/get_loggers] /gazebo http://dc5b429f784e:37367/
[rosmaster.master][INFO] 2019-06-13 09:56:42,243: +SERVICE [/gazebo/set_logger_level] /gazebo http://dc5b429f784e:37367/
[rosmaster.master][INFO] 2019-06-13 09:56:42,251: +SUB [/clock] /gazebo http://dc5b429f784e:37367/
[rosmaster.master][INFO] 2019-06-13 09:56:42,270: publisherUpdate[/rosout] -> http://dc5b429f784e:45437/ ['http://dc5b429f784e:37367/']
[rosmaster.master][INFO] 2019-06-13 09:56:42,272: publisherUpdate[/rosout] -> http://dc5b429f784e:45437/ ['http://dc5b429f784e:37367/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-06-13 09:56:42,516: +PUB [/clock] /gazebo http://dc5b429f784e:37367/
[rosmaster.master][INFO] 2019-06-13 09:56:42,517: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://dc5b429f784e:37367/
[rosmaster.master][INFO] 2019-06-13 09:56:42,518: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://dc5b429f784e:37367/
[rosmaster.master][INFO] 2019-06-13 09:56:42,519: +SERVICE [/gazebo/delete_model] /gazebo http://dc5b429f784e:37367/
[rosmaster.master][INFO] 2019-06-13 09:56:42,520: +SERVICE [/gazebo/delete_light] /gazebo http://dc5b429f784e:37367/
[rosmaster.master][INFO] 2019-06-13 09:56:42,522: +SERVICE [/gazebo/get_model_properties] /gazebo http://dc5b429f784e:37367/
[rosmaster.master][INFO] 2019-06-13 09:56:42,523: +SERVICE [/gazebo/get_model_state] /gazebo http://dc5b429f784e:37367/
[rosmaster.master][INFO] 2019-06-13 09:56:42,524: +SERVICE [/gazebo/get_world_properties] /gazebo http://dc5b429f784e:37367/
[rosmaster.master][INFO] 2019-06-13 09:56:42,525: +SERVICE [/gazebo/get_joint_properties] /gazebo http://dc5b429f784e:37367/
[rosmaster.master][INFO] 2019-06-13 09:56:42,526: +SERVICE [/gazebo/get_link_properties] /gazebo http://dc5b429f784e:37367/
[rosmaster.master][INFO] 2019-06-13 09:56:42,527: +SERVICE [/gazebo/get_link_state] /gazebo http://dc5b429f784e:37367/
[rosmaster.master][INFO] 2019-06-13 09:56:42,528: +SERVICE [/gazebo/get_light_properties] /gazebo http://dc5b429f784e:37367/
[rosmaster.master][INFO] 2019-06-13 09:56:42,529: +SERVICE [/gazebo/set_light_properties] /gazebo http://dc5b429f784e:37367/
[rosmaster.master][INFO] 2019-06-13 09:56:42,530: +SERVICE [/gazebo/get_physics_properties] /gazebo http://dc5b429f784e:37367/
[rosmaster.master][INFO] 2019-06-13 09:56:42,531: +PUB [/gazebo/link_states] /gazebo http://dc5b429f784e:37367/
[rosmaster.master][INFO] 2019-06-13 09:56:42,532: +PUB [/gazebo/model_states] /gazebo http://dc5b429f784e:37367/
[rosmaster.master][INFO] 2019-06-13 09:56:42,533: +SERVICE [/gazebo/set_link_properties] /gazebo http://dc5b429f784e:37367/
[rosmaster.master][INFO] 2019-06-13 09:56:42,534: +SERVICE [/gazebo/set_physics_properties] /gazebo http://dc5b429f784e:37367/
[rosmaster.master][INFO] 2019-06-13 09:56:42,535: +SERVICE [/gazebo/set_model_state] /gazebo http://dc5b429f784e:37367/
[rosmaster.master][INFO] 2019-06-13 09:56:42,536: +SERVICE [/gazebo/set_model_configuration] /gazebo http://dc5b429f784e:37367/
[rosmaster.master][INFO] 2019-06-13 09:56:42,538: +SERVICE [/gazebo/set_joint_properties] /gazebo http://dc5b429f784e:37367/
[rosmaster.master][INFO] 2019-06-13 09:56:42,539: +SERVICE [/gazebo/set_link_state] /gazebo http://dc5b429f784e:37367/
[rosmaster.master][INFO] 2019-06-13 09:56:42,543: +SUB [/gazebo/set_link_state] /gazebo http://dc5b429f784e:37367/
[rosmaster.master][INFO] 2019-06-13 09:56:42,549: +SUB [/gazebo/set_model_state] /gazebo http://dc5b429f784e:37367/
[rosmaster.master][INFO] 2019-06-13 09:56:42,550: +SERVICE [/gazebo/pause_physics] /gazebo http://dc5b429f784e:37367/
[rosmaster.master][INFO] 2019-06-13 09:56:42,551: +SERVICE [/gazebo/unpause_physics] /gazebo http://dc5b429f784e:37367/
[rosmaster.master][INFO] 2019-06-13 09:56:42,552: +SERVICE [/gazebo/apply_body_wrench] /gazebo http://dc5b429f784e:37367/
[rosmaster.master][INFO] 2019-06-13 09:56:42,564: +SERVICE [/gazebo/apply_joint_effort] /gazebo http://dc5b429f784e:37367/
[rosmaster.master][INFO] 2019-06-13 09:56:42,567: +SERVICE [/gazebo/clear_joint_forces] /gazebo http://dc5b429f784e:37367/
[rosmaster.master][INFO] 2019-06-13 09:56:42,569: +SERVICE [/gazebo/clear_body_wrenches] /gazebo http://dc5b429f784e:37367/
[rosmaster.master][INFO] 2019-06-13 09:56:42,571: +SERVICE [/gazebo/reset_simulation] /gazebo http://dc5b429f784e:37367/
[rosmaster.master][INFO] 2019-06-13 09:56:42,571: publisherUpdate[/clock] -> http://dc5b429f784e:45437/ ['http://dc5b429f784e:37367/']
[rosmaster.master][INFO] 2019-06-13 09:56:42,572: publisherUpdate[/clock] -> http://dc5b429f784e:37367/ ['http://dc5b429f784e:37367/']
[rosmaster.master][INFO] 2019-06-13 09:56:42,575: +SERVICE [/gazebo/reset_world] /gazebo http://dc5b429f784e:37367/
[rosmaster.master][INFO] 2019-06-13 09:56:42,575: publisherUpdate[/clock] -> http://dc5b429f784e:37367/ ['http://dc5b429f784e:37367/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-06-13 09:56:42,576: publisherUpdate[/clock] -> http://dc5b429f784e:45437/ ['http://dc5b429f784e:37367/']: sec=0.00, result=[1, '', 0]
