[rosmaster.main][INFO] 2019-06-25 12:41:30,300: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-25 12:41:30,300: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-25 12:41:30,302: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-06-25 12:41:30,303: Started XML-RPC server [http://dc5b429f784e:11311/]
[xmlrpc][INFO] 2019-06-25 12:41:30,304: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-25 12:41:30,304: Master initialized: port[11311], uri[http://dc5b429f784e:11311/]
[rosmaster.master][INFO] 2019-06-25 12:41:30,390: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 12:41:30,393: +PARAM [/roslaunch/uris/host_dc5b429f784e__43673] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 12:41:31,368: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 12:41:31,368: +PARAM [/joint_state_publisher/use_gui] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 12:41:31,368: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 12:41:31,368: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 12:41:31,409: +SERVICE [/rosout/get_loggers] /rosout http://dc5b429f784e:42121/
[rosmaster.master][INFO] 2019-06-25 12:41:31,411: +SERVICE [/rosout/set_logger_level] /rosout http://dc5b429f784e:42121/
[rosmaster.master][INFO] 2019-06-25 12:41:31,415: +PUB [/rosout_agg] /rosout http://dc5b429f784e:42121/
[rosmaster.master][INFO] 2019-06-25 12:41:31,436: +SUB [/rosout] /rosout http://dc5b429f784e:42121/
[rosmaster.master][INFO] 2019-06-25 12:41:32,354: +PUB [/rosout] /robot_state_publisher http://dc5b429f784e:35287/
[rosmaster.master][INFO] 2019-06-25 12:41:32,365: +SERVICE [/robot_state_publisher/get_loggers] /robot_state_publisher http://dc5b429f784e:35287/
[rosmaster.master][INFO] 2019-06-25 12:41:32,375: +SERVICE [/robot_state_publisher/set_logger_level] /robot_state_publisher http://dc5b429f784e:35287/
[rosmaster.master][INFO] 2019-06-25 12:41:32,382: +PUB [/tf] /robot_state_publisher http://dc5b429f784e:35287/
[rosmaster.master][INFO] 2019-06-25 12:41:32,384: +PUB [/tf_static] /robot_state_publisher http://dc5b429f784e:35287/
[rosmaster.master][INFO] 2019-06-25 12:41:32,400: +SUB [/joint_states] /robot_state_publisher http://dc5b429f784e:35287/
[rosmaster.master][INFO] 2019-06-25 12:41:32,408: publisherUpdate[/rosout] -> http://dc5b429f784e:42121/ ['http://dc5b429f784e:35287/']
[rosmaster.master][INFO] 2019-06-25 12:41:32,411: publisherUpdate[/rosout] -> http://dc5b429f784e:42121/ ['http://dc5b429f784e:35287/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-06-25 12:41:32,938: +PUB [/rosout] /joint_state_publisher http://dc5b429f784e:44685/
[rosmaster.master][INFO] 2019-06-25 12:41:32,945: +SERVICE [/joint_state_publisher/get_loggers] /joint_state_publisher http://dc5b429f784e:44685/
[rosmaster.master][INFO] 2019-06-25 12:41:32,948: +SERVICE [/joint_state_publisher/set_logger_level] /joint_state_publisher http://dc5b429f784e:44685/
[rosmaster.master][INFO] 2019-06-25 12:41:32,992: +PUB [/rosout] /rviz http://dc5b429f784e:44865/
[rosmaster.master][INFO] 2019-06-25 12:41:32,995: +SERVICE [/rviz/get_loggers] /rviz http://dc5b429f784e:44865/
[rosmaster.master][INFO] 2019-06-25 12:41:32,998: +SERVICE [/rviz/set_logger_level] /rviz http://dc5b429f784e:44865/
[rosmaster.master][INFO] 2019-06-25 12:41:33,011: publisherUpdate[/rosout] -> http://dc5b429f784e:42121/ ['http://dc5b429f784e:35287/', 'http://dc5b429f784e:44685/']
[rosmaster.master][INFO] 2019-06-25 12:41:33,013: publisherUpdate[/rosout] -> http://dc5b429f784e:42121/ ['http://dc5b429f784e:35287/', 'http://dc5b429f784e:44685/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-06-25 12:41:33,013: publisherUpdate[/rosout] -> http://dc5b429f784e:42121/ ['http://dc5b429f784e:35287/', 'http://dc5b429f784e:44685/', 'http://dc5b429f784e:44865/']
[rosmaster.master][INFO] 2019-06-25 12:41:33,014: publisherUpdate[/rosout] -> http://dc5b429f784e:42121/ ['http://dc5b429f784e:35287/', 'http://dc5b429f784e:44685/', 'http://dc5b429f784e:44865/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-06-25 12:41:33,049: +PUB [/joint_states] /joint_state_publisher http://dc5b429f784e:44685/
[rosmaster.master][INFO] 2019-06-25 12:41:33,114: publisherUpdate[/joint_states] -> http://dc5b429f784e:35287/ ['http://dc5b429f784e:44685/']
[rosmaster.master][INFO] 2019-06-25 12:41:33,115: publisherUpdate[/joint_states] -> http://dc5b429f784e:35287/ ['http://dc5b429f784e:44685/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-06-25 12:41:33,287: +SUB [/tf] /rviz http://dc5b429f784e:44865/
[rosmaster.master][INFO] 2019-06-25 12:41:33,296: +SUB [/tf_static] /rviz http://dc5b429f784e:44865/
