[rosmaster.main][INFO] 2019-06-28 14:54:37,094: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-28 14:54:37,094: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-28 14:54:37,096: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-06-28 14:54:37,097: Started XML-RPC server [http://dc5b429f784e:11311/]
[xmlrpc][INFO] 2019-06-28 14:54:37,097: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-28 14:54:37,097: Master initialized: port[11311], uri[http://dc5b429f784e:11311/]
[rosmaster.master][INFO] 2019-06-28 14:54:37,117: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-28 14:54:37,118: +PARAM [/roslaunch/uris/host_dc5b429f784e__34873] by /roslaunch
[rosmaster.master][INFO] 2019-06-28 14:54:37,552: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-06-28 14:54:37,552: +PARAM [/joint_state_publisher/use_gui] by /roslaunch
[rosmaster.master][INFO] 2019-06-28 14:54:37,552: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-06-28 14:54:37,552: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2019-06-28 14:54:37,582: +SERVICE [/rosout/get_loggers] /rosout http://dc5b429f784e:44847/
[rosmaster.master][INFO] 2019-06-28 14:54:37,583: +SERVICE [/rosout/set_logger_level] /rosout http://dc5b429f784e:44847/
[rosmaster.master][INFO] 2019-06-28 14:54:37,586: +PUB [/rosout_agg] /rosout http://dc5b429f784e:44847/
[rosmaster.master][INFO] 2019-06-28 14:54:37,592: +SUB [/rosout] /rosout http://dc5b429f784e:44847/
[rosmaster.master][INFO] 2019-06-28 14:54:38,160: +PUB [/rosout] /robot_state_publisher http://dc5b429f784e:34345/
[rosmaster.master][INFO] 2019-06-28 14:54:38,161: +SERVICE [/robot_state_publisher/get_loggers] /robot_state_publisher http://dc5b429f784e:34345/
[rosmaster.master][INFO] 2019-06-28 14:54:38,162: +SERVICE [/robot_state_publisher/set_logger_level] /robot_state_publisher http://dc5b429f784e:34345/
[rosmaster.master][INFO] 2019-06-28 14:54:38,168: +PUB [/tf] /robot_state_publisher http://dc5b429f784e:34345/
[rosmaster.master][INFO] 2019-06-28 14:54:38,169: +PUB [/tf_static] /robot_state_publisher http://dc5b429f784e:34345/
[rosmaster.master][INFO] 2019-06-28 14:54:38,180: +SUB [/joint_states] /robot_state_publisher http://dc5b429f784e:34345/
[rosmaster.master][INFO] 2019-06-28 14:54:38,197: publisherUpdate[/rosout] -> http://dc5b429f784e:44847/ ['http://dc5b429f784e:34345/']
[rosmaster.master][INFO] 2019-06-28 14:54:38,199: publisherUpdate[/rosout] -> http://dc5b429f784e:44847/ ['http://dc5b429f784e:34345/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-06-28 14:54:38,440: +PUB [/rosout] /joint_state_publisher http://dc5b429f784e:34589/
[rosmaster.master][INFO] 2019-06-28 14:54:38,444: +SERVICE [/joint_state_publisher/get_loggers] /joint_state_publisher http://dc5b429f784e:34589/
[rosmaster.master][INFO] 2019-06-28 14:54:38,445: +SERVICE [/joint_state_publisher/set_logger_level] /joint_state_publisher http://dc5b429f784e:34589/
[rosmaster.master][INFO] 2019-06-28 14:54:38,497: publisherUpdate[/rosout] -> http://dc5b429f784e:44847/ ['http://dc5b429f784e:34345/', 'http://dc5b429f784e:34589/']
