[rosmaster.main][INFO] 2020-07-02 13:33:46,887: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-07-02 13:33:46,888: Starting ROS Master Node
[xmlrpc][INFO] 2020-07-02 13:33:46,889: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-07-02 13:33:46,889: Started XML-RPC server [http://177b797fd17c:11311/]
[xmlrpc][INFO] 2020-07-02 13:33:46,889: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-07-02 13:33:46,889: Master initialized: port[11311], uri[http://177b797fd17c:11311/]
[rosmaster.master][INFO] 2020-07-02 13:33:46,983: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:33:46,985: +PARAM [/roslaunch/uris/host_177b797fd17c__45603] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:33:47,545: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:33:47,547: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:33:47,547: +PARAM [/robot2/robot_description] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:33:47,548: +PARAM [/robot1/tf_prefix] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:33:47,548: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:33:47,548: +PARAM [/robot1/robot_description] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:33:47,549: +SERVICE [/rosout/get_loggers] /rosout http://177b797fd17c:42753/
[rosmaster.master][INFO] 2020-07-02 13:33:47,550: +SERVICE [/rosout/set_logger_level] /rosout http://177b797fd17c:42753/
[rosmaster.master][INFO] 2020-07-02 13:33:47,556: +SUB [/clock] /rosout http://177b797fd17c:42753/
[rosmaster.master][INFO] 2020-07-02 13:33:47,557: +PUB [/rosout_agg] /rosout http://177b797fd17c:42753/
[rosmaster.master][INFO] 2020-07-02 13:33:47,562: +SUB [/rosout] /rosout http://177b797fd17c:42753/
[rosmaster.master][INFO] 2020-07-02 13:33:48,303: +PUB [/rosout] /gazebo http://177b797fd17c:42799/
[rosmaster.master][INFO] 2020-07-02 13:33:48,305: +SERVICE [/gazebo/get_loggers] /gazebo http://177b797fd17c:42799/
[rosmaster.master][INFO] 2020-07-02 13:33:48,306: +SERVICE [/gazebo/set_logger_level] /gazebo http://177b797fd17c:42799/
[rosmaster.master][INFO] 2020-07-02 13:33:48,313: +SUB [/clock] /gazebo http://177b797fd17c:42799/
[rosmaster.master][INFO] 2020-07-02 13:33:48,391: publisherUpdate[/rosout] -> http://177b797fd17c:42753/ ['http://177b797fd17c:42799/']
[rosmaster.master][INFO] 2020-07-02 13:33:48,393: publisherUpdate[/rosout] -> http://177b797fd17c:42753/ ['http://177b797fd17c:42799/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-07-02 13:33:48,655: +PUB [/clock] /gazebo http://177b797fd17c:42799/
[rosmaster.master][INFO] 2020-07-02 13:33:48,657: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://177b797fd17c:42799/
[rosmaster.master][INFO] 2020-07-02 13:33:48,658: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://177b797fd17c:42799/
[rosmaster.master][INFO] 2020-07-02 13:33:48,659: +SERVICE [/gazebo/delete_model] /gazebo http://177b797fd17c:42799/
[rosmaster.master][INFO] 2020-07-02 13:33:48,660: +SERVICE [/gazebo/delete_light] /gazebo http://177b797fd17c:42799/
[rosmaster.master][INFO] 2020-07-02 13:33:48,662: +SERVICE [/gazebo/get_model_properties] /gazebo http://177b797fd17c:42799/
[rosmaster.master][INFO] 2020-07-02 13:33:48,662: +SERVICE [/gazebo/get_model_state] /gazebo http://177b797fd17c:42799/
[rosmaster.master][INFO] 2020-07-02 13:33:48,663: +SERVICE [/gazebo/get_world_properties] /gazebo http://177b797fd17c:42799/
[rosmaster.master][INFO] 2020-07-02 13:33:48,664: +SERVICE [/gazebo/get_joint_properties] /gazebo http://177b797fd17c:42799/
[rosmaster.master][INFO] 2020-07-02 13:33:48,665: +SERVICE [/gazebo/get_link_properties] /gazebo http://177b797fd17c:42799/
[rosmaster.master][INFO] 2020-07-02 13:33:48,666: +SERVICE [/gazebo/get_link_state] /gazebo http://177b797fd17c:42799/
