[rosmaster.main][INFO] 2019-06-25 06:59:26,676: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-25 06:59:26,676: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-25 06:59:26,677: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-06-25 06:59:26,677: Started XML-RPC server [http://dc5b429f784e:11311/]
[xmlrpc][INFO] 2019-06-25 06:59:26,677: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-25 06:59:26,678: Master initialized: port[11311], uri[http://dc5b429f784e:11311/]
[rosmaster.master][INFO] 2019-06-25 06:59:26,706: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 06:59:26,708: +PARAM [/roslaunch/uris/host_dc5b429f784e__32895] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 06:59:27,046: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 06:59:27,046: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 06:59:27,047: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-06-25 06:59:27,062: +SERVICE [/rosout/get_loggers] /rosout http://dc5b429f784e:46489/
[rosmaster.master][INFO] 2019-06-25 06:59:27,063: +SERVICE [/rosout/set_logger_level] /rosout http://dc5b429f784e:46489/
[rosmaster.master][INFO] 2019-06-25 06:59:27,070: +SUB [/clock] /rosout http://dc5b429f784e:46489/
[rosmaster.master][INFO] 2019-06-25 06:59:27,072: +PUB [/rosout_agg] /rosout http://dc5b429f784e:46489/
[rosmaster.master][INFO] 2019-06-25 06:59:27,077: +SUB [/rosout] /rosout http://dc5b429f784e:46489/
[rosmaster.master][INFO] 2019-06-25 06:59:27,764: +PUB [/rosout] /gazebo http://dc5b429f784e:39881/
[rosmaster.master][INFO] 2019-06-25 06:59:27,766: +SERVICE [/gazebo/get_loggers] /gazebo http://dc5b429f784e:39881/
[rosmaster.master][INFO] 2019-06-25 06:59:27,767: +SERVICE [/gazebo/set_logger_level] /gazebo http://dc5b429f784e:39881/
[rosmaster.master][INFO] 2019-06-25 06:59:27,775: +SUB [/clock] /gazebo http://dc5b429f784e:39881/
[rosmaster.master][INFO] 2019-06-25 06:59:27,778: publisherUpdate[/rosout] -> http://dc5b429f784e:46489/ ['http://dc5b429f784e:39881/']
[rosmaster.master][INFO] 2019-06-25 06:59:27,780: publisherUpdate[/rosout] -> http://dc5b429f784e:46489/ ['http://dc5b429f784e:39881/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-06-25 06:59:28,076: +PUB [/clock] /gazebo http://dc5b429f784e:39881/
[rosmaster.master][INFO] 2019-06-25 06:59:28,077: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://dc5b429f784e:39881/
[rosmaster.master][INFO] 2019-06-25 06:59:28,078: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://dc5b429f784e:39881/
[rosmaster.master][INFO] 2019-06-25 06:59:28,079: publisherUpdate[/clock] -> http://dc5b429f784e:46489/ ['http://dc5b429f784e:39881/']
[rosmaster.master][INFO] 2019-06-25 06:59:28,080: publisherUpdate[/clock] -> http://dc5b429f784e:39881/ ['http://dc5b429f784e:39881/']
[rosmaster.master][INFO] 2019-06-25 06:59:28,080: +SERVICE [/gazebo/delete_model] /gazebo http://dc5b429f784e:39881/
[rosmaster.master][INFO] 2019-06-25 06:59:28,082: publisherUpdate[/clock] -> http://dc5b429f784e:46489/ ['http://dc5b429f784e:39881/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-06-25 06:59:28,082: publisherUpdate[/clock] -> http://dc5b429f784e:39881/ ['http://dc5b429f784e:39881/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-06-25 06:59:28,083: +SERVICE [/gazebo/delete_light] /gazebo http://dc5b429f784e:39881/
[rosmaster.master][INFO] 2019-06-25 06:59:28,084: +SERVICE [/gazebo/get_model_properties] /gazebo http://dc5b429f784e:39881/
