[rosmaster.main][INFO] 2019-06-14 08:24:17,969: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-14 08:24:17,970: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-14 08:24:17,970: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-06-14 08:24:17,971: Started XML-RPC server [http://dc5b429f784e:11311/]
[rosmaster.master][INFO] 2019-06-14 08:24:17,971: Master initialized: port[11311], uri[http://dc5b429f784e:11311/]
[xmlrpc][INFO] 2019-06-14 08:24:17,971: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-14 08:24:17,998: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-14 08:24:18,001: +PARAM [/roslaunch/uris/host_dc5b429f784e__42539] by /roslaunch
[rosmaster.master][INFO] 2019-06-14 08:24:18,340: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-06-14 08:24:18,341: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2019-06-14 08:24:18,341: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-06-14 08:24:18,357: +SERVICE [/rosout/get_loggers] /rosout http://dc5b429f784e:43043/
[rosmaster.master][INFO] 2019-06-14 08:24:18,358: +SERVICE [/rosout/set_logger_level] /rosout http://dc5b429f784e:43043/
[rosmaster.master][INFO] 2019-06-14 08:24:18,364: +SUB [/clock] /rosout http://dc5b429f784e:43043/
[rosmaster.master][INFO] 2019-06-14 08:24:18,365: +PUB [/rosout_agg] /rosout http://dc5b429f784e:43043/
[rosmaster.master][INFO] 2019-06-14 08:24:18,370: +SUB [/rosout] /rosout http://dc5b429f784e:43043/
[rosmaster.master][INFO] 2019-06-14 08:24:18,994: +PUB [/rosout] /gazebo http://dc5b429f784e:43865/
[rosmaster.master][INFO] 2019-06-14 08:24:18,995: +SERVICE [/gazebo/get_loggers] /gazebo http://dc5b429f784e:43865/
[rosmaster.master][INFO] 2019-06-14 08:24:18,996: +SERVICE [/gazebo/set_logger_level] /gazebo http://dc5b429f784e:43865/
[rosmaster.master][INFO] 2019-06-14 08:24:19,004: +SUB [/clock] /gazebo http://dc5b429f784e:43865/
[rosmaster.master][INFO] 2019-06-14 08:24:19,072: publisherUpdate[/rosout] -> http://dc5b429f784e:43043/ ['http://dc5b429f784e:43865/']
[rosmaster.master][INFO] 2019-06-14 08:24:19,075: publisherUpdate[/rosout] -> http://dc5b429f784e:43043/ ['http://dc5b429f784e:43865/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-06-14 08:24:19,271: +PUB [/clock] /gazebo http://dc5b429f784e:43865/
[rosmaster.master][INFO] 2019-06-14 08:24:19,273: publisherUpdate[/clock] -> http://dc5b429f784e:43043/ ['http://dc5b429f784e:43865/']
[rosmaster.master][INFO] 2019-06-14 08:24:19,274: publisherUpdate[/clock] -> http://dc5b429f784e:43043/ ['http://dc5b429f784e:43865/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-06-14 08:24:19,274: publisherUpdate[/clock] -> http://dc5b429f784e:43865/ ['http://dc5b429f784e:43865/']
[rosmaster.master][INFO] 2019-06-14 08:24:19,275: publisherUpdate[/clock] -> http://dc5b429f784e:43865/ ['http://dc5b429f784e:43865/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-06-14 08:24:19,280: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://dc5b429f784e:43865/
[rosmaster.master][INFO] 2019-06-14 08:24:19,281: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://dc5b429f784e:43865/
[rosmaster.master][INFO] 2019-06-14 08:24:19,282: +SERVICE [/gazebo/delete_model] /gazebo http://dc5b429f784e:43865/
[rosmaster.master][INFO] 2019-06-14 08:24:19,283: +SERVICE [/gazebo/delete_light] /gazebo http://dc5b429f784e:43865/
[rosmaster.master][INFO] 2019-06-14 08:24:19,285: +SERVICE [/gazebo/get_model_properties] /gazebo http://dc5b429f784e:43865/
[rosmaster.master][INFO] 2019-06-14 08:24:19,286: +SERVICE [/gazebo/get_model_state] /gazebo http://dc5b429f784e:43865/
[rosmaster.master][INFO] 2019-06-14 08:24:19,287: +SERVICE [/gazebo/get_world_properties] /gazebo http://dc5b429f784e:43865/
[rosmaster.master][INFO] 2019-06-14 08:24:19,288: +SERVICE [/gazebo/get_joint_properties] /gazebo http://dc5b429f784e:43865/
[rosmaster.master][INFO] 2019-06-14 08:24:19,289: +SERVICE [/gazebo/get_link_properties] /gazebo http://dc5b429f784e:43865/
[rosmaster.master][INFO] 2019-06-14 08:24:19,291: +SERVICE [/gazebo/get_link_state] /gazebo http://dc5b429f784e:43865/
[rosmaster.master][INFO] 2019-06-14 08:24:19,292: +SERVICE [/gazebo/get_light_properties] /gazebo http://dc5b429f784e:43865/
[rosmaster.master][INFO] 2019-06-14 08:24:19,293: +SERVICE [/gazebo/set_light_properties] /gazebo http://dc5b429f784e:43865/
[rosmaster.master][INFO] 2019-06-14 08:24:19,294: +SERVICE [/gazebo/get_physics_properties] /gazebo http://dc5b429f784e:43865/
[rosmaster.master][INFO] 2019-06-14 08:24:19,295: +PUB [/gazebo/link_states] /gazebo http://dc5b429f784e:43865/
[rosmaster.master][INFO] 2019-06-14 08:24:19,296: +PUB [/gazebo/model_states] /gazebo http://dc5b429f784e:43865/
[rosmaster.master][INFO] 2019-06-14 08:24:19,298: +SERVICE [/gazebo/set_link_properties] /gazebo http://dc5b429f784e:43865/
[rosmaster.master][INFO] 2019-06-14 08:24:19,299: +SERVICE [/gazebo/set_physics_properties] /gazebo http://dc5b429f784e:43865/
[rosmaster.master][INFO] 2019-06-14 08:24:19,300: +SERVICE [/gazebo/set_model_state] /gazebo http://dc5b429f784e:43865/
[rosmaster.master][INFO] 2019-06-14 08:24:19,302: +SERVICE [/gazebo/set_model_configuration] /gazebo http://dc5b429f784e:43865/
[rosmaster.master][INFO] 2019-06-14 08:24:19,302: +SERVICE [/gazebo/set_joint_properties] /gazebo http://dc5b429f784e:43865/
[rosmaster.master][INFO] 2019-06-14 08:24:19,303: +SERVICE [/gazebo/set_link_state] /gazebo http://dc5b429f784e:43865/
[rosmaster.master][INFO] 2019-06-14 08:24:19,309: +SUB [/gazebo/set_link_state] /gazebo http://dc5b429f784e:43865/
[rosmaster.master][INFO] 2019-06-14 08:24:19,314: +SUB [/gazebo/set_model_state] /gazebo http://dc5b429f784e:43865/
[rosmaster.master][INFO] 2019-06-14 08:24:19,315: +SERVICE [/gazebo/pause_physics] /gazebo http://dc5b429f784e:43865/
[rosmaster.master][INFO] 2019-06-14 08:24:19,316: +SERVICE [/gazebo/unpause_physics] /gazebo http://dc5b429f784e:43865/
[rosmaster.master][INFO] 2019-06-14 08:24:19,318: +SERVICE [/gazebo/apply_body_wrench] /gazebo http://dc5b429f784e:43865/
[rosmaster.master][INFO] 2019-06-14 08:24:19,319: +SERVICE [/gazebo/apply_joint_effort] /gazebo http://dc5b429f784e:43865/
[rosmaster.master][INFO] 2019-06-14 08:24:19,319: +SERVICE [/gazebo/clear_joint_forces] /gazebo http://dc5b429f784e:43865/
[rosmaster.master][INFO] 2019-06-14 08:24:19,321: +SERVICE [/gazebo/clear_body_wrenches] /gazebo http://dc5b429f784e:43865/
[rosmaster.master][INFO] 2019-06-14 08:24:19,321: +SERVICE [/gazebo/reset_simulation] /gazebo http://dc5b429f784e:43865/
[rosmaster.master][INFO] 2019-06-14 08:24:19,322: +SERVICE [/gazebo/reset_world] /gazebo http://dc5b429f784e:43865/
[rosmaster.master][INFO] 2019-06-14 08:24:19,357: +SERVICE [/gazebo/set_parameters] /gazebo http://dc5b429f784e:43865/
[rosmaster.master][INFO] 2019-06-14 08:24:19,359: +PUB [/gazebo/parameter_descriptions] /gazebo http://dc5b429f784e:43865/
[rosmaster.master][INFO] 2019-06-14 08:24:19,360: +PUB [/gazebo/parameter_updates] /gazebo http://dc5b429f784e:43865/
[rosmaster.master][INFO] 2019-06-14 08:24:19,373: +PARAM [/gazebo/time_step] by /gazebo
[rosmaster.master][INFO] 2019-06-14 08:24:19,374: +PARAM [/gazebo/max_update_rate] by /gazebo
[rosmaster.master][INFO] 2019-06-14 08:24:19,375: +PARAM [/gazebo/gravity_x] by /gazebo
[rosmaster.master][INFO] 2019-06-14 08:24:19,376: +PARAM [/gazebo/gravity_y] by /gazebo
[rosmaster.master][INFO] 2019-06-14 08:24:19,391: +PARAM [/gazebo/gravity_z] by /gazebo
[rosmaster.master][INFO] 2019-06-14 08:24:19,392: +PARAM [/gazebo/auto_disable_bodies] by /gazebo
[rosmaster.master][INFO] 2019-06-14 08:24:19,393: +PARAM [/gazebo/sor_pgs_precon_iters] by /gazebo
[rosmaster.master][INFO] 2019-06-14 08:24:19,394: +PARAM [/gazebo/sor_pgs_iters] by /gazebo
