[rosmaster.main][INFO] 2019-07-02 13:17:57,568: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-07-02 13:17:57,568: Starting ROS Master Node
[xmlrpc][INFO] 2019-07-02 13:17:57,569: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-07-02 13:17:57,569: Started XML-RPC server [http://f6566a55c2b3:11311/]
[xmlrpc][INFO] 2019-07-02 13:17:57,569: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-07-02 13:17:57,569: Master initialized: port[11311], uri[http://f6566a55c2b3:11311/]
[rosmaster.master][INFO] 2019-07-02 13:17:57,595: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-07-02 13:17:57,596: +PARAM [/roslaunch/uris/host_f6566a55c2b3__38841] by /roslaunch
[rosmaster.master][INFO] 2019-07-02 13:17:57,943: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-07-02 13:17:57,943: +PARAM [/joint_state_publisher/use_gui] by /roslaunch
[rosmaster.master][INFO] 2019-07-02 13:17:57,943: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-07-02 13:17:57,943: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2019-07-02 13:17:57,947: +SERVICE [/rosout/get_loggers] /rosout http://f6566a55c2b3:33979/
[rosmaster.master][INFO] 2019-07-02 13:17:57,948: +SERVICE [/rosout/set_logger_level] /rosout http://f6566a55c2b3:33979/
[rosmaster.master][INFO] 2019-07-02 13:17:57,950: +PUB [/rosout_agg] /rosout http://f6566a55c2b3:33979/
[rosmaster.master][INFO] 2019-07-02 13:17:57,955: +SUB [/rosout] /rosout http://f6566a55c2b3:33979/
[rosmaster.master][INFO] 2019-07-02 13:17:58,495: +PUB [/rosout] /robot_state_publisher http://f6566a55c2b3:37307/
[rosmaster.master][INFO] 2019-07-02 13:17:58,496: +SERVICE [/robot_state_publisher/get_loggers] /robot_state_publisher http://f6566a55c2b3:37307/
[rosmaster.master][INFO] 2019-07-02 13:17:58,497: +SERVICE [/robot_state_publisher/set_logger_level] /robot_state_publisher http://f6566a55c2b3:37307/
[rosmaster.master][INFO] 2019-07-02 13:17:58,501: +PUB [/tf] /robot_state_publisher http://f6566a55c2b3:37307/
[rosmaster.master][INFO] 2019-07-02 13:17:58,502: +PUB [/tf_static] /robot_state_publisher http://f6566a55c2b3:37307/
[rosmaster.master][INFO] 2019-07-02 13:17:58,511: +SUB [/joint_states] /robot_state_publisher http://f6566a55c2b3:37307/
[rosmaster.master][INFO] 2019-07-02 13:17:58,550: +PUB [/rosout] /joint_state_publisher http://f6566a55c2b3:35445/
[rosmaster.master][INFO] 2019-07-02 13:17:58,554: +SERVICE [/joint_state_publisher/get_loggers] /joint_state_publisher http://f6566a55c2b3:35445/
[rosmaster.master][INFO] 2019-07-02 13:17:58,556: +SERVICE [/joint_state_publisher/set_logger_level] /joint_state_publisher http://f6566a55c2b3:35445/
[rosmaster.master][INFO] 2019-07-02 13:17:58,570: publisherUpdate[/rosout] -> http://f6566a55c2b3:33979/ ['http://f6566a55c2b3:37307/']
[rosmaster.master][INFO] 2019-07-02 13:17:58,574: publisherUpdate[/rosout] -> http://f6566a55c2b3:33979/ ['http://f6566a55c2b3:37307/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-07-02 13:17:58,575: publisherUpdate[/rosout] -> http://f6566a55c2b3:33979/ ['http://f6566a55c2b3:37307/', 'http://f6566a55c2b3:35445/']
[rosmaster.master][INFO] 2019-07-02 13:17:58,576: publisherUpdate[/rosout] -> http://f6566a55c2b3:33979/ ['http://f6566a55c2b3:37307/', 'http://f6566a55c2b3:35445/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-07-02 13:17:58,585: +PUB [/joint_states] /joint_state_publisher http://f6566a55c2b3:35445/
[rosmaster.master][INFO] 2019-07-02 13:17:58,671: publisherUpdate[/joint_states] -> http://f6566a55c2b3:37307/ ['http://f6566a55c2b3:35445/']
[rosmaster.master][INFO] 2019-07-02 13:17:58,672: publisherUpdate[/joint_states] -> http://f6566a55c2b3:37307/ ['http://f6566a55c2b3:35445/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-07-02 13:17:58,830: +PUB [/rosout] /rviz http://f6566a55c2b3:35869/
[rosmaster.master][INFO] 2019-07-02 13:17:58,831: +SERVICE [/rviz/get_loggers] /rviz http://f6566a55c2b3:35869/
[rosmaster.master][INFO] 2019-07-02 13:17:58,832: +SERVICE [/rviz/set_logger_level] /rviz http://f6566a55c2b3:35869/
[rosmaster.master][INFO] 2019-07-02 13:17:58,872: publisherUpdate[/rosout] -> http://f6566a55c2b3:33979/ ['http://f6566a55c2b3:37307/', 'http://f6566a55c2b3:35445/', 'http://f6566a55c2b3:35869/']
[rosmaster.master][INFO] 2019-07-02 13:17:58,872: publisherUpdate[/rosout] -> http://f6566a55c2b3:33979/ ['http://f6566a55c2b3:37307/', 'http://f6566a55c2b3:35445/', 'http://f6566a55c2b3:35869/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-07-02 13:17:58,980: +SUB [/tf] /rviz http://f6566a55c2b3:35869/
[rosmaster.master][INFO] 2019-07-02 13:17:58,986: +SUB [/tf_static] /rviz http://f6566a55c2b3:35869/
[rosmaster.master][INFO] 2019-07-02 13:17:59,021: +PUB [/initialpose] /rviz http://f6566a55c2b3:35869/
[rosmaster.master][INFO] 2019-07-02 13:17:59,023: +PUB [/goal] /rviz http://f6566a55c2b3:35869/
[rosmaster.master][INFO] 2019-07-02 13:17:59,027: -PUB [/goal] /rviz http://f6566a55c2b3:35869/
[rosmaster.master][INFO] 2019-07-02 13:17:59,028: -PUB [/initialpose] /rviz http://f6566a55c2b3:35869/
[rosmaster.master][INFO] 2019-07-02 13:17:59,031: +PUB [/initialpose] /rviz http://f6566a55c2b3:35869/
[rosmaster.master][INFO] 2019-07-02 13:17:59,032: +PUB [/goal] /rviz http://f6566a55c2b3:35869/
[rosmaster.master][INFO] 2019-07-02 13:17:59,034: +PUB [/move_base_simple/goal] /rviz http://f6566a55c2b3:35869/
[rosmaster.master][INFO] 2019-07-02 13:17:59,035: -PUB [/goal] /rviz http://f6566a55c2b3:35869/
[rosmaster.master][INFO] 2019-07-02 13:17:59,035: +PUB [/clicked_point] /rviz http://f6566a55c2b3:35869/
[rosmaster.master][INFO] 2019-07-02 13:17:59,062: +SERVICE [/rviz/reload_shaders] /rviz http://f6566a55c2b3:35869/
[rosmaster.master][INFO] 2019-07-02 13:18:47,609: -PUB [/clicked_point] /rviz http://f6566a55c2b3:35869/
[rosmaster.master][INFO] 2019-07-02 13:18:47,610: -PUB [/move_base_simple/goal] /rviz http://f6566a55c2b3:35869/
[rosmaster.master][INFO] 2019-07-02 13:18:47,611: -PUB [/initialpose] /rviz http://f6566a55c2b3:35869/
[rosmaster.master][INFO] 2019-07-02 13:18:47,621: -SUB [/tf_static] /rviz http://f6566a55c2b3:35869/
[rosmaster.master][INFO] 2019-07-02 13:18:47,622: -SUB [/tf] /rviz http://f6566a55c2b3:35869/
[rosmaster.master][INFO] 2019-07-02 13:18:47,624: -SERVICE [/rviz/reload_shaders] /rviz rosrpc://f6566a55c2b3:39939
[rosmaster.master][INFO] 2019-07-02 13:18:47,832: -PUB [/rosout] /rviz http://f6566a55c2b3:35869/
[rosmaster.master][INFO] 2019-07-02 13:18:47,833: -SERVICE [/rviz/get_loggers] /rviz rosrpc://f6566a55c2b3:39939
[rosmaster.master][INFO] 2019-07-02 13:18:47,834: -SERVICE [/rviz/set_logger_level] /rviz rosrpc://f6566a55c2b3:39939
[rosmaster.master][INFO] 2019-07-02 13:18:47,896: publisherUpdate[/rosout] -> http://f6566a55c2b3:33979/ ['http://f6566a55c2b3:37307/', 'http://f6566a55c2b3:35445/']
[rosmaster.master][INFO] 2019-07-02 13:18:47,897: publisherUpdate[/rosout] -> http://f6566a55c2b3:33979/ ['http://f6566a55c2b3:37307/', 'http://f6566a55c2b3:35445/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-07-02 13:18:53,706: -PUB [/joint_states] /joint_state_publisher http://f6566a55c2b3:35445/
[rosmaster.master][INFO] 2019-07-02 13:18:53,706: -PUB [/rosout] /joint_state_publisher http://f6566a55c2b3:35445/
[rosmaster.master][INFO] 2019-07-02 13:18:53,706: -SERVICE [/joint_state_publisher/get_loggers] /joint_state_publisher rosrpc://f6566a55c2b3:37431
[rosmaster.master][INFO] 2019-07-02 13:18:53,706: -SERVICE [/joint_state_publisher/set_logger_level] /joint_state_publisher rosrpc://f6566a55c2b3:37431
