[rosmaster.main][INFO] 2019-06-14 09:36:24,329: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-14 09:36:24,330: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-14 09:36:24,330: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-06-14 09:36:24,331: Started XML-RPC server [http://dc5b429f784e:11311/]
[xmlrpc][INFO] 2019-06-14 09:36:24,331: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-14 09:36:24,331: Master initialized: port[11311], uri[http://dc5b429f784e:11311/]
[rosmaster.master][INFO] 2019-06-14 09:36:24,351: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-14 09:36:24,352: +PARAM [/roslaunch/uris/host_dc5b429f784e__42843] by /roslaunch
[rosmaster.master][INFO] 2019-06-14 09:36:24,698: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-06-14 09:36:24,698: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2019-06-14 09:36:24,698: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-06-14 09:36:24,698: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2019-06-14 09:36:24,713: +SERVICE [/rosout/get_loggers] /rosout http://dc5b429f784e:37859/
[rosmaster.master][INFO] 2019-06-14 09:36:24,714: +SERVICE [/rosout/set_logger_level] /rosout http://dc5b429f784e:37859/
[rosmaster.master][INFO] 2019-06-14 09:36:24,720: +SUB [/clock] /rosout http://dc5b429f784e:37859/
[rosmaster.master][INFO] 2019-06-14 09:36:24,722: +PUB [/rosout_agg] /rosout http://dc5b429f784e:37859/
[rosmaster.master][INFO] 2019-06-14 09:36:24,727: +SUB [/rosout] /rosout http://dc5b429f784e:37859/
[rosmaster.master][INFO] 2019-06-14 09:36:25,462: +PUB [/rosout] /gazebo http://dc5b429f784e:38941/
[rosmaster.master][INFO] 2019-06-14 09:36:25,464: +SERVICE [/gazebo/get_loggers] /gazebo http://dc5b429f784e:38941/
[rosmaster.master][INFO] 2019-06-14 09:36:25,465: +SERVICE [/gazebo/set_logger_level] /gazebo http://dc5b429f784e:38941/
[rosmaster.master][INFO] 2019-06-14 09:36:25,475: +SUB [/clock] /gazebo http://dc5b429f784e:38941/
[rosmaster.master][INFO] 2019-06-14 09:36:25,532: publisherUpdate[/rosout] -> http://dc5b429f784e:37859/ ['http://dc5b429f784e:38941/']
[rosmaster.master][INFO] 2019-06-14 09:36:25,534: publisherUpdate[/rosout] -> http://dc5b429f784e:37859/ ['http://dc5b429f784e:38941/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-06-14 09:36:25,762: +PUB [/clock] /gazebo http://dc5b429f784e:38941/
[rosmaster.master][INFO] 2019-06-14 09:36:25,763: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://dc5b429f784e:38941/
[rosmaster.master][INFO] 2019-06-14 09:36:25,764: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://dc5b429f784e:38941/
[rosmaster.master][INFO] 2019-06-14 09:36:25,765: +SERVICE [/gazebo/delete_model] /gazebo http://dc5b429f784e:38941/
[rosmaster.master][INFO] 2019-06-14 09:36:25,766: +SERVICE [/gazebo/delete_light] /gazebo http://dc5b429f784e:38941/
[rosmaster.master][INFO] 2019-06-14 09:36:25,767: +SERVICE [/gazebo/get_model_properties] /gazebo http://dc5b429f784e:38941/
[rosmaster.master][INFO] 2019-06-14 09:36:25,768: +SERVICE [/gazebo/get_model_state] /gazebo http://dc5b429f784e:38941/
[rosmaster.master][INFO] 2019-06-14 09:36:25,769: +SERVICE [/gazebo/get_world_properties] /gazebo http://dc5b429f784e:38941/
[rosmaster.master][INFO] 2019-06-14 09:36:25,770: +SERVICE [/gazebo/get_joint_properties] /gazebo http://dc5b429f784e:38941/
[rosmaster.master][INFO] 2019-06-14 09:36:25,771: +SERVICE [/gazebo/get_link_properties] /gazebo http://dc5b429f784e:38941/
[rosmaster.master][INFO] 2019-06-14 09:36:25,772: +SERVICE [/gazebo/get_link_state] /gazebo http://dc5b429f784e:38941/
[rosmaster.master][INFO] 2019-06-14 09:36:25,773: +SERVICE [/gazebo/get_light_properties] /gazebo http://dc5b429f784e:38941/
[rosmaster.master][INFO] 2019-06-14 09:36:25,774: +SERVICE [/gazebo/set_light_properties] /gazebo http://dc5b429f784e:38941/
[rosmaster.master][INFO] 2019-06-14 09:36:25,775: +SERVICE [/gazebo/get_physics_properties] /gazebo http://dc5b429f784e:38941/
