[rosmaster.main][INFO] 2019-06-14 07:49:11,443: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-14 07:49:11,443: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-14 07:49:11,444: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-06-14 07:49:11,444: Started XML-RPC server [http://dc5b429f784e:11311/]
[xmlrpc][INFO] 2019-06-14 07:49:11,445: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-14 07:49:11,445: Master initialized: port[11311], uri[http://dc5b429f784e:11311/]
[rosmaster.master][INFO] 2019-06-14 07:49:11,482: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-14 07:49:11,483: +PARAM [/roslaunch/uris/host_dc5b429f784e__36787] by /roslaunch
[rosmaster.master][INFO] 2019-06-14 07:49:11,807: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-06-14 07:49:11,807: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-06-14 07:49:11,822: +SERVICE [/rosout/get_loggers] /rosout http://dc5b429f784e:38461/
[rosmaster.master][INFO] 2019-06-14 07:49:11,823: +SERVICE [/rosout/set_logger_level] /rosout http://dc5b429f784e:38461/
[rosmaster.master][INFO] 2019-06-14 07:49:11,826: +PUB [/rosout_agg] /rosout http://dc5b429f784e:38461/
[rosmaster.master][INFO] 2019-06-14 07:49:11,831: +SUB [/rosout] /rosout http://dc5b429f784e:38461/
[rosmaster.master][INFO] 2019-06-14 07:49:29,948: +PARAM [/roslaunch/uris/host_dc5b429f784e__39167] by /roslaunch
[rosmaster.master][INFO] 2019-06-14 07:49:29,951: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-06-14 07:49:29,951: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2019-06-14 07:49:29,951: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-06-14 07:49:30,859: +PUB [/rosout] /gazebo http://dc5b429f784e:45243/
[rosmaster.master][INFO] 2019-06-14 07:49:30,860: +SERVICE [/gazebo/get_loggers] /gazebo http://dc5b429f784e:45243/
[rosmaster.master][INFO] 2019-06-14 07:49:30,862: +SERVICE [/gazebo/set_logger_level] /gazebo http://dc5b429f784e:45243/
[rosmaster.master][INFO] 2019-06-14 07:49:30,871: +SUB [/clock] /gazebo http://dc5b429f784e:45243/
[rosmaster.master][INFO] 2019-06-14 07:49:30,914: publisherUpdate[/rosout] -> http://dc5b429f784e:38461/ ['http://dc5b429f784e:45243/']
[rosmaster.master][INFO] 2019-06-14 07:49:30,916: publisherUpdate[/rosout] -> http://dc5b429f784e:38461/ ['http://dc5b429f784e:45243/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-06-14 07:49:31,211: +PUB [/clock] /gazebo http://dc5b429f784e:45243/
[rosmaster.master][INFO] 2019-06-14 07:49:31,213: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://dc5b429f784e:45243/
[rosmaster.master][INFO] 2019-06-14 07:49:31,214: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://dc5b429f784e:45243/
