[rosmaster.main][INFO] 2019-06-24 13:13:49,323: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-24 13:13:49,323: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-24 13:13:49,325: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-06-24 13:13:49,325: Started XML-RPC server [http://dc5b429f784e:11311/]
[rosmaster.master][INFO] 2019-06-24 13:13:49,325: Master initialized: port[11311], uri[http://dc5b429f784e:11311/]
[xmlrpc][INFO] 2019-06-24 13:13:49,325: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-24 13:13:49,344: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-24 13:13:49,346: +PARAM [/roslaunch/uris/host_dc5b429f784e__44231] by /roslaunch
[rosmaster.master][INFO] 2019-06-24 13:13:49,739: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-06-24 13:13:49,739: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-06-24 13:13:49,755: +SERVICE [/rosout/get_loggers] /rosout http://dc5b429f784e:42743/
[rosmaster.master][INFO] 2019-06-24 13:13:49,756: +SERVICE [/rosout/set_logger_level] /rosout http://dc5b429f784e:42743/
[rosmaster.master][INFO] 2019-06-24 13:13:49,758: +PUB [/rosout_agg] /rosout http://dc5b429f784e:42743/
[rosmaster.master][INFO] 2019-06-24 13:13:49,763: +SUB [/rosout] /rosout http://dc5b429f784e:42743/
[rosmaster.master][INFO] 2019-06-24 13:13:58,765: +PARAM [/roslaunch/uris/host_dc5b429f784e__37615] by /roslaunch
[rosmaster.master][INFO] 2019-06-24 13:13:58,770: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-06-24 13:13:58,770: +PARAM [/use_gui] by /roslaunch
[rosmaster.master][INFO] 2019-06-24 13:13:58,770: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-06-24 13:13:58,770: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2019-06-24 13:13:59,486: +PUB [/rosout] /robot_state_publisher http://dc5b429f784e:42789/
[rosmaster.master][INFO] 2019-06-24 13:13:59,487: +SERVICE [/robot_state_publisher/get_loggers] /robot_state_publisher http://dc5b429f784e:42789/
[rosmaster.master][INFO] 2019-06-24 13:13:59,488: +SERVICE [/robot_state_publisher/set_logger_level] /robot_state_publisher http://dc5b429f784e:42789/
[rosmaster.master][INFO] 2019-06-24 13:13:59,494: +PUB [/tf] /robot_state_publisher http://dc5b429f784e:42789/
[rosmaster.master][INFO] 2019-06-24 13:13:59,495: +PUB [/tf_static] /robot_state_publisher http://dc5b429f784e:42789/
[rosmaster.master][INFO] 2019-06-24 13:13:59,507: +SUB [/joint_states] /robot_state_publisher http://dc5b429f784e:42789/
[rosmaster.master][INFO] 2019-06-24 13:13:59,558: publisherUpdate[/rosout] -> http://dc5b429f784e:42743/ ['http://dc5b429f784e:42789/']
