[rosmaster.main][INFO] 2020-07-02 13:14:14,105: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-07-02 13:14:14,106: Starting ROS Master Node
[xmlrpc][INFO] 2020-07-02 13:14:14,107: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-07-02 13:14:14,107: Started XML-RPC server [http://177b797fd17c:11311/]
[xmlrpc][INFO] 2020-07-02 13:14:14,107: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-07-02 13:14:14,107: Master initialized: port[11311], uri[http://177b797fd17c:11311/]
[rosmaster.master][INFO] 2020-07-02 13:14:14,203: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:14:14,205: +PARAM [/roslaunch/uris/host_177b797fd17c__33551] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:14:14,763: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:14:14,765: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:14:14,765: +PARAM [/robot2/robot_description] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:14:14,765: +PARAM [/robot2/tf_prefix] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:14:14,765: +PARAM [/robot1/tf_prefix] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:14:14,766: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:14:14,766: +PARAM [/robot1/robot_description] by /roslaunch
[rosmaster.master][INFO] 2020-07-02 13:14:14,767: +SERVICE [/rosout/get_loggers] /rosout http://177b797fd17c:42787/
[rosmaster.master][INFO] 2020-07-02 13:14:14,768: +SERVICE [/rosout/set_logger_level] /rosout http://177b797fd17c:42787/
[rosmaster.master][INFO] 2020-07-02 13:14:14,777: +SUB [/clock] /rosout http://177b797fd17c:42787/
[rosmaster.master][INFO] 2020-07-02 13:14:14,778: +PUB [/rosout_agg] /rosout http://177b797fd17c:42787/
