[rosmaster.main][INFO] 2019-06-11 09:04:36,291: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-11 09:04:36,291: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-11 09:04:36,292: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-06-11 09:04:36,292: Started XML-RPC server [http://dc5b429f784e:11311/]
[xmlrpc][INFO] 2019-06-11 09:04:36,293: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-11 09:04:36,293: Master initialized: port[11311], uri[http://dc5b429f784e:11311/]
[rosmaster.master][INFO] 2019-06-11 09:04:36,327: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-11 09:04:36,328: +PARAM [/roslaunch/uris/host_dc5b429f784e__35747] by /roslaunch
[rosmaster.master][INFO] 2019-06-11 09:04:36,668: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-06-11 09:04:36,668: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2019-06-11 09:04:36,668: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-06-11 09:04:36,668: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2019-06-11 09:04:36,682: +SERVICE [/rosout/get_loggers] /rosout http://dc5b429f784e:44447/
[rosmaster.master][INFO] 2019-06-11 09:04:36,683: +SERVICE [/rosout/set_logger_level] /rosout http://dc5b429f784e:44447/
[rosmaster.master][INFO] 2019-06-11 09:04:36,690: +SUB [/clock] /rosout http://dc5b429f784e:44447/
[rosmaster.master][INFO] 2019-06-11 09:04:36,692: +PUB [/rosout_agg] /rosout http://dc5b429f784e:44447/
[rosmaster.master][INFO] 2019-06-11 09:04:36,696: +SUB [/rosout] /rosout http://dc5b429f784e:44447/
[rosmaster.master][INFO] 2019-06-11 09:04:37,293: +PUB [/rosout] /gazebo http://dc5b429f784e:38413/
[rosmaster.master][INFO] 2019-06-11 09:04:37,293: publisherUpdate[/rosout] -> http://dc5b429f784e:44447/ ['http://dc5b429f784e:38413/']
[rosmaster.master][INFO] 2019-06-11 09:04:37,294: +SERVICE [/gazebo/get_loggers] /gazebo http://dc5b429f784e:38413/
[rosmaster.master][INFO] 2019-06-11 09:04:37,297: +SERVICE [/gazebo/set_logger_level] /gazebo http://dc5b429f784e:38413/
[rosmaster.master][INFO] 2019-06-11 09:04:37,298: publisherUpdate[/rosout] -> http://dc5b429f784e:44447/ ['http://dc5b429f784e:38413/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-06-11 09:04:37,305: +SUB [/clock] /gazebo http://dc5b429f784e:38413/
[rosmaster.master][INFO] 2019-06-11 09:04:37,643: +PUB [/clock] /gazebo http://dc5b429f784e:38413/
[rosmaster.master][INFO] 2019-06-11 09:04:37,644: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://dc5b429f784e:38413/
[rosmaster.master][INFO] 2019-06-11 09:04:37,646: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://dc5b429f784e:38413/
[rosmaster.master][INFO] 2019-06-11 09:04:37,647: +SERVICE [/gazebo/delete_model] /gazebo http://dc5b429f784e:38413/
[rosmaster.master][INFO] 2019-06-11 09:04:37,648: +SERVICE [/gazebo/delete_light] /gazebo http://dc5b429f784e:38413/
[rosmaster.master][INFO] 2019-06-11 09:04:37,649: +SERVICE [/gazebo/get_model_properties] /gazebo http://dc5b429f784e:38413/
[rosmaster.master][INFO] 2019-06-11 09:04:37,651: +SERVICE [/gazebo/get_model_state] /gazebo http://dc5b429f784e:38413/
[rosmaster.master][INFO] 2019-06-11 09:04:37,652: +SERVICE [/gazebo/get_world_properties] /gazebo http://dc5b429f784e:38413/
[rosmaster.master][INFO] 2019-06-11 09:04:37,653: +SERVICE [/gazebo/get_joint_properties] /gazebo http://dc5b429f784e:38413/
[rosmaster.master][INFO] 2019-06-11 09:04:37,655: +SERVICE [/gazebo/get_link_properties] /gazebo http://dc5b429f784e:38413/
[rosmaster.master][INFO] 2019-06-11 09:04:37,656: +SERVICE [/gazebo/get_link_state] /gazebo http://dc5b429f784e:38413/
[rosmaster.master][INFO] 2019-06-11 09:04:37,657: +SERVICE [/gazebo/get_light_properties] /gazebo http://dc5b429f784e:38413/
[rosmaster.master][INFO] 2019-06-11 09:04:37,658: +SERVICE [/gazebo/set_light_properties] /gazebo http://dc5b429f784e:38413/
[rosmaster.master][INFO] 2019-06-11 09:04:37,659: +SERVICE [/gazebo/get_physics_properties] /gazebo http://dc5b429f784e:38413/
[rosmaster.master][INFO] 2019-06-11 09:04:37,660: +PUB [/gazebo/link_states] /gazebo http://dc5b429f784e:38413/
[rosmaster.master][INFO] 2019-06-11 09:04:37,661: +PUB [/gazebo/model_states] /gazebo http://dc5b429f784e:38413/
[rosmaster.master][INFO] 2019-06-11 09:04:37,662: +SERVICE [/gazebo/set_link_properties] /gazebo http://dc5b429f784e:38413/
[rosmaster.master][INFO] 2019-06-11 09:04:37,664: +SERVICE [/gazebo/set_physics_properties] /gazebo http://dc5b429f784e:38413/
[rosmaster.master][INFO] 2019-06-11 09:04:37,665: +SERVICE [/gazebo/set_model_state] /gazebo http://dc5b429f784e:38413/
[rosmaster.master][INFO] 2019-06-11 09:04:37,666: +SERVICE [/gazebo/set_model_configuration] /gazebo http://dc5b429f784e:38413/
[rosmaster.master][INFO] 2019-06-11 09:04:37,667: +SERVICE [/gazebo/set_joint_properties] /gazebo http://dc5b429f784e:38413/
[rosmaster.master][INFO] 2019-06-11 09:04:37,669: +SERVICE [/gazebo/set_link_state] /gazebo http://dc5b429f784e:38413/
[rosmaster.master][INFO] 2019-06-11 09:04:37,675: +SUB [/gazebo/set_link_state] /gazebo http://dc5b429f784e:38413/
[rosmaster.master][INFO] 2019-06-11 09:04:37,681: +SUB [/gazebo/set_model_state] /gazebo http://dc5b429f784e:38413/
[rosmaster.master][INFO] 2019-06-11 09:04:37,682: +SERVICE [/gazebo/pause_physics] /gazebo http://dc5b429f784e:38413/
[rosmaster.master][INFO] 2019-06-11 09:04:37,684: +SERVICE [/gazebo/unpause_physics] /gazebo http://dc5b429f784e:38413/
[rosmaster.master][INFO] 2019-06-11 09:04:37,685: +SERVICE [/gazebo/apply_body_wrench] /gazebo http://dc5b429f784e:38413/
[rosmaster.master][INFO] 2019-06-11 09:04:37,686: +SERVICE [/gazebo/apply_joint_effort] /gazebo http://dc5b429f784e:38413/
[rosmaster.master][INFO] 2019-06-11 09:04:37,687: +SERVICE [/gazebo/clear_joint_forces] /gazebo http://dc5b429f784e:38413/
[rosmaster.master][INFO] 2019-06-11 09:04:37,689: +SERVICE [/gazebo/clear_body_wrenches] /gazebo http://dc5b429f784e:38413/
[rosmaster.master][INFO] 2019-06-11 09:04:37,690: +SERVICE [/gazebo/reset_simulation] /gazebo http://dc5b429f784e:38413/
[rosmaster.master][INFO] 2019-06-11 09:04:37,691: +SERVICE [/gazebo/reset_world] /gazebo http://dc5b429f784e:38413/
[rosmaster.master][INFO] 2019-06-11 09:04:37,695: publisherUpdate[/clock] -> http://dc5b429f784e:44447/ ['http://dc5b429f784e:38413/']
[rosmaster.master][INFO] 2019-06-11 09:04:37,695: publisherUpdate[/clock] -> http://dc5b429f784e:38413/ ['http://dc5b429f784e:38413/']
[rosmaster.master][INFO] 2019-06-11 09:04:37,697: publisherUpdate[/clock] -> http://dc5b429f784e:44447/ ['http://dc5b429f784e:38413/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-06-11 09:04:37,697: publisherUpdate[/clock] -> http://dc5b429f784e:38413/ ['http://dc5b429f784e:38413/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-06-11 09:04:38,413: +PUB [/rosout] /urdf_spawner http://dc5b429f784e:33251/
[rosmaster.master][INFO] 2019-06-11 09:04:38,417: +SUB [/clock] /urdf_spawner http://dc5b429f784e:33251/
[rosmaster.master][INFO] 2019-06-11 09:04:38,419: +SERVICE [/urdf_spawner/get_loggers] /urdf_spawner http://dc5b429f784e:33251/
[rosmaster.master][INFO] 2019-06-11 09:04:38,420: +SERVICE [/urdf_spawner/set_logger_level] /urdf_spawner http://dc5b429f784e:33251/
[rosmaster.master][INFO] 2019-06-11 09:04:38,499: publisherUpdate[/rosout] -> http://dc5b429f784e:44447/ ['http://dc5b429f784e:38413/', 'http://dc5b429f784e:33251/']
