[rosmaster.main][INFO] 2019-06-26 08:54:01,749: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-26 08:54:01,749: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-26 08:54:01,751: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-06-26 08:54:01,751: Started XML-RPC server [http://dc5b429f784e:11311/]
[xmlrpc][INFO] 2019-06-26 08:54:01,752: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-26 08:54:01,752: Master initialized: port[11311], uri[http://dc5b429f784e:11311/]
[rosmaster.master][INFO] 2019-06-26 08:54:01,764: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-26 08:54:01,767: +PARAM [/roslaunch/uris/host_dc5b429f784e__44209] by /roslaunch
[rosmaster.master][INFO] 2019-06-26 08:54:02,445: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-06-26 08:54:02,445: +PARAM [/joint_state_publisher/use_gui] by /roslaunch
[rosmaster.master][INFO] 2019-06-26 08:54:02,445: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-06-26 08:54:02,446: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2019-06-26 08:54:02,472: +SERVICE [/rosout/get_loggers] /rosout http://dc5b429f784e:45827/
[rosmaster.master][INFO] 2019-06-26 08:54:02,473: +SERVICE [/rosout/set_logger_level] /rosout http://dc5b429f784e:45827/
[rosmaster.master][INFO] 2019-06-26 08:54:02,476: +PUB [/rosout_agg] /rosout http://dc5b429f784e:45827/
[rosmaster.master][INFO] 2019-06-26 08:54:02,483: +SUB [/rosout] /rosout http://dc5b429f784e:45827/
[rosmaster.master][INFO] 2019-06-26 08:54:03,339: +PUB [/rosout] /robot_state_publisher http://dc5b429f784e:36017/
[rosmaster.master][INFO] 2019-06-26 08:54:03,341: +SERVICE [/robot_state_publisher/get_loggers] /robot_state_publisher http://dc5b429f784e:36017/
[rosmaster.master][INFO] 2019-06-26 08:54:03,344: +SERVICE [/robot_state_publisher/set_logger_level] /robot_state_publisher http://dc5b429f784e:36017/
[rosmaster.master][INFO] 2019-06-26 08:54:03,353: publisherUpdate[/rosout] -> http://dc5b429f784e:45827/ ['http://dc5b429f784e:36017/']
[rosmaster.master][INFO] 2019-06-26 08:54:03,356: publisherUpdate[/rosout] -> http://dc5b429f784e:45827/ ['http://dc5b429f784e:36017/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-06-26 08:54:03,387: +PUB [/tf] /robot_state_publisher http://dc5b429f784e:36017/
[rosmaster.master][INFO] 2019-06-26 08:54:03,389: +PUB [/tf_static] /robot_state_publisher http://dc5b429f784e:36017/
[rosmaster.master][INFO] 2019-06-26 08:54:03,405: +SUB [/joint_states] /robot_state_publisher http://dc5b429f784e:36017/
[rosmaster.master][INFO] 2019-06-26 08:54:03,822: +PUB [/rosout] /joint_state_publisher http://dc5b429f784e:46391/
[rosmaster.master][INFO] 2019-06-26 08:54:03,827: +SERVICE [/joint_state_publisher/get_loggers] /joint_state_publisher http://dc5b429f784e:46391/
[rosmaster.master][INFO] 2019-06-26 08:54:03,830: +SERVICE [/joint_state_publisher/set_logger_level] /joint_state_publisher http://dc5b429f784e:46391/
[rosmaster.master][INFO] 2019-06-26 08:54:03,854: publisherUpdate[/rosout] -> http://dc5b429f784e:45827/ ['http://dc5b429f784e:36017/', 'http://dc5b429f784e:46391/']
[rosmaster.master][INFO] 2019-06-26 08:54:03,856: publisherUpdate[/rosout] -> http://dc5b429f784e:45827/ ['http://dc5b429f784e:36017/', 'http://dc5b429f784e:46391/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-06-26 08:54:03,902: +PUB [/joint_states] /joint_state_publisher http://dc5b429f784e:46391/
[rosmaster.master][INFO] 2019-06-26 08:54:03,930: +PUB [/rosout] /rviz http://dc5b429f784e:41829/
[rosmaster.master][INFO] 2019-06-26 08:54:03,942: +SERVICE [/rviz/get_loggers] /rviz http://dc5b429f784e:41829/
[rosmaster.master][INFO] 2019-06-26 08:54:03,945: +SERVICE [/rviz/set_logger_level] /rviz http://dc5b429f784e:41829/
